source,target,p-value,model
Atf6,Egfr,0.0,-1
Elk1,C8G,0.0,-1
Elk1,Rpl35,0.0,-1
Elk1,Ppm1F,0.0,-1
Elk1,Znf669,0.0,-1
Elk1,Hydin,0.0,1
Elk1,Chchd7,0.0,-1
Elk1,Lrrc73,0.0,-1
Fosl2,Rfc2,0.0,-1
Gtf2F1,Gar1,0.0,-1
Hnf4A,Fnip2,0.0,1
Kdm5A,Mfsd6,0.0,-1
Nr1H3,Bahcc1,0.0,-1
Ubtf,Lrp3,0.0,-1
Zkscan1,Gpr45,0.0,-1
Ubtf,Slc25A35,4.2015268689283876e-276,-1
Hnf4G,Tex30,1.206898487013581e-257,-1
Nfkb2,S100A16,2.057989493562384e-247,-1
Kdm5A,Stag1,8.106920979954546e-237,-1
Polr2A,Dusp14,1.137800534238942e-235,-1
Znf471,Klf15,1.8732200115607326e-226,-1
Batf,Mmp9,9.044553720386732e-223,-1
Foxp2,Sybu,1.0297964298259473e-222,-1
Nr1H3,Fdps,3.2952494672075135e-222,-1
Stat2,Acin1,9.386524092211893e-221,-1
Nrf1,Rfxap,1.9241362813247218e-220,-1
Taf1,Taf2,6.2490675484959154e-198,-1
Foxc1,Emp3,4.3441395518754994e-193,-1
Nfil3,Osgin1,5.067963239949643e-192,-1
Myog,Calhm3,1.4087027232926252e-174,-1
Gmeb2,Abhd11,1.2448197214376494e-172,-1
Foxo3,Tec,7.56847906156733e-170,-1
Tgif1,Abhd11,8.973504362557648e-163,-1
Nr1H3,Dbh,2.7358399847856346e-158,-1
Fosl2,Abtb2,1.6653748204792278e-146,-1
E2F8,Spc25,2.151583356133107e-142,-1
Znf143,Znf529,4.318415956500617e-140,-1
Nr1H3,Elmod3,3.3142713059526524e-139,-1
Znf143,Ywhag,3.027309108708728e-138,-1
Gtf2F1,Bod1,2.7825540710659926e-136,-1
Relb,Apoa5,4.9532961828274985e-127,-1
Znf768,Tsnaxip1,5.26897696548916e-124,-1
Junb,Ttbk1,7.333826154503044e-116,-1
Gtf2F1,Lypla2,2.644759361431732e-115,-1
Hcfc1,Psmc3,1.352857062728621e-111,1
Creb3L2,Rwdd2B,3.990591339227913e-111,-1
Znf76,Sgf29,1.02491398420093e-108,-1
Yy1,Znrf1,1.9189582645563698e-107,-1
Znf76,Fam120C,7.655639651275954e-107,-1
Znf211,Tpt1-As1,1.4782113888763589e-106,-1
Nfyb,Mir4458Hg,1.2680474025690992e-104,-1
Gtf2F1,Kctd5,4.7433803662237374e-104,-1
