negative_pathway
H/ACA ribonucleoprotein complex
Apoptotic machinery
"Nucleotide sugar biosynthesis, galactose => UDP-galactose"
"PRPP biosynthesis, ribose 5P => PRPP"
"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA"
GINS complex
"Fatty acid biosynthesis, initiation"
"Polyamine biosynthesis, arginine => ornithine => putrescine"
D-Arginine and D-ornithine metabolism
Translocon-associated protein (TRAP) complex
Cap binding complex
"Cysteine biosynthesis, homocysteine + serine => cysteine"
Lysine biosynthesis
Virion - Adenovirus
Virion - Lyssavirus
DNA polymerase epsilon complex
"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P"
ESCRT-0 complex
p97-Ufd1-Npl4 complex
"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer"
DNA polymerase delta complex
"Fatty acid biosynthesis, elongation"
Succinate dehydrogenase (ubiquinone)
"Serine biosynthesis, glycerate-3P => serine"
Lactosylceramide biosynthesis
"Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate"
ESCRT-II complex
"Valine, leucine and isoleucine biosynthesis"
Cholecalciferol biosynthesis
"Proline biosynthesis, glutamate => proline"
"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine"
Ski complex
"Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid"
"Glutathione biosynthesis, glutamate => glutathione"
"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate"
DNA-PK complex
DNA polymerase gamma complex
MAPK (ERK5) signaling
RPA complex
"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"
MRN complex
Sulfur relay system
"Phosphatidylcholine (PC) biosynthesis, PE => PC"
"Exosome, archaea"
D-Glutamine and D-glutamate metabolism
DNA polymerase zeta  complex
"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP"
Shelterin complex
Biotin metabolism
"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone"
GABA (gamma-Aminobutyrate) shunt
TRAMP complex
"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
Sphingosine degradation
Cytochrome bc1 complex respiratory unit
"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3"
DNA polymerase alpha / primase complex
