source,target,p-value,model
Pknox1,Exosc10,1.0214260494924902e-09,1
Nr3c2,Ilf3,1.0979977041503628e-09,-1
Stat3,Znhit3,1.1531141255824181e-09,-1
Mybbp1a,Pprc1,1.2759927763060408e-09,-1
Set,Csda,1.3150004050712514e-09,-1
Mga,Arid4b,1.4490973961263908e-09,-1
Arid4b,Mga,1.4490973961265918e-09,-1
Hdac1,Mad2l1,1.5114817648043502e-09,-1
Camta2,Mettl6,1.5380770459588112e-09,-1
Camta2,Mettl6,1.5380770459588112e-09,-1
Sarnp,Med30,1.798877933439524e-09,-1
Mybbp1a,Ltv1,1.8998369261962994e-09,-1
Cxxc1,Mlst8,1.906993340843795e-09,-1
Smarca2,Eif6,1.9514505982993403e-09,1
Cxxc1,Setdb1,1.9614857466213133e-09,-1
Npm1,Aimp1,2.310696830998959e-09,-1
Pias4,Upf1,2.6152292379733287e-09,-1
Npm1,Rpl10a,2.7844030653239652e-09,-1
Dnmt1,Mcm7,3.06705075605176e-09,-1
Crebbp,Ep400,3.1068404785164405e-09,-1
Apex1,Drg1,3.121652473706797e-09,1
Zkscan14,Gm5617,3.500174332292481e-09,-1
Tmpo,Rpl7,3.55215694623044e-09,-1
Gabpa,Plaa,4.116135922111138e-09,-1
Sap30,Rtcd1,4.1699736392398445e-09,1
Irf5,Plxnc1,4.6202000028439274e-09,-1
Dnmt1,Mcm3,4.886520035862926e-09,-1
Smad1,Trim2,5.35828807159451e-09,-1
Hnf4a,2510049J12Rik,5.52739031953563e-09,-1
Zfpm1,Rabggta,6.3571898249303125e-09,1
Preb,Copg,6.7952548344816285e-09,-1
Ruvbl2,Abcd3,7.154049793611096e-09,1
Suz12,Nudcd2,7.255592328755569e-09,-1
Set,Rpl7,7.507132525038107e-09,-1
Rxrg,Ndufb2,8.319599401746209e-09,-1
Sod2,Ndufb2,8.319599401746209e-09,-1
Zfp422,Tmx1,1.0043865990031915e-08,-1
Taf7,Nasp,1.2199922764662067e-08,-1
Ruvbl2,Snrpg,1.3848984961035441e-08,-1
Pcgf6,Nasp,1.6761966266738236e-08,-1
Zfp292,Hnrnpa2b1,1.9342807071132415e-08,-1
Hdac1,Prim1,2.008281357553421e-08,-1
Smarca5,Msh6,2.0587482270087032e-08,-1
Clock,Yipf6,2.117248563269523e-08,-1
Mybbp1a,Aqr,2.781458471269186e-08,-1
Ruvbl2,Dhx8,2.8994542909313803e-08,-1
Chd8,Nudt9,3.394346702534736e-08,-1
Chd8,Sh2b1,3.394346702534736e-08,-1
Chd8,Dus4l,3.509256540279081e-08,-1
Cdc5l,Nup93,3.7697025373365944e-08,-1
Onecut1,Aldh7a1,4.6546322373351327e-08,-1
Gatad1,2310008H09Rik,4.8857804528479754e-08,-1
Atf5,Akt2,5.7739398627195465e-08,-1
Ets1,Icam1,6.073685533778984e-08,-1
Trim28,Ptov1,6.588367301244244e-08,1
Trim28,Eif3d,6.644742324852148e-08,-1
Smarca5,Tsr1,7.000291991655182e-08,-1
Suz12,Nucks1,7.09236642579402e-08,-1
Gtf2f2,Dhx8,7.409371263746986e-08,-1
Nr3c2,Dyrk2,7.918407245176853e-08,-1
Zfx,Gabpa,8.13242848878693e-08,-1
Gabpa,Zfx,8.13242848878743e-08,-1
Gabpa,Yme1l1,9.181852481592224e-08,-1
Nr3c2,Eftud2,9.330844469115034e-08,-1
Rxrg,Zfp106,9.600018384871051e-08,-1
Ruvbl2,Bud13,9.898078238507535e-08,-1
Hmgn5,Zfp946,1.0166099282319586e-07,-1
Suz12,Sfpq,1.0538961087380882e-07,-1
Trim28,Slc25a16,1.0569636569230132e-07,1
Klf12,Crp,1.0616754120065107e-07,-1
Tmpo,Rbbp4,1.1382393872520792e-07,-1
Cxxc1,Mtmr1,1.1687703134614274e-07,1
Smarca2,Pitpnc1,1.1709856365791738e-07,1
Sap30,Srpk1,1.1764338421499354e-07,1
Rnf4,Wdr77,1.1770147963757157e-07,1
Zfpm1,Cdk18,1.205338838914985e-07,1
Nr3c1,2410018M08Rik,1.2241740629327303e-07,-1
Zfp524,Hnrpll,1.3495404046610936e-07,-1
Dnmt1,Pcna,1.4882790828336717e-07,-1
Pcna,Dnmt1,1.4882790828341481e-07,-1
Taf7,Rpa2,1.5373080215168164e-07,-1
Zfpm1,Dhrs1,1.5627955462794808e-07,1
Stat6,Mvp,1.671634233850086e-07,-1
Set,Ddx10,1.6807831099146368e-07,-1
Nr0b2,Hsd17b6,1.7836288825570414e-07,-1
Nr3c1,Dram2,1.7904791744740902e-07,-1
Trp53,Ewsr1,1.9730996780651451e-07,-1
Dnmt1,Atad2,2.0421493878618418e-07,-1
Esr1,C8a,2.068741364147242e-07,-1
Hnf4a,Nadsyn1,2.0900431887251374e-07,-1
Pa2g4,Lmnb1,2.117284060319838e-07,-1
Gon4l,Edc4,2.165888968253469e-07,-1
Med6,Aimp1,2.1926686629905527e-07,-1
Nr3c2,Snx8,2.2424844765074285e-07,-1
Nr1h4,Akr1c14,2.3784699412042337e-07,-1
Gzf1,Serpina6,2.4268984778615387e-07,-1
Esr1,Slc22a30,2.505982842932307e-07,-1
Ppp1r8,Erh,3.398898856722454e-07,-1
Creb3l3,Cyp3a13,3.413840474082318e-07,-1
Tcf21,Enpep,3.6246932369565876e-07,-1
Dnmt1,Rpl13a,3.8457248636083617e-07,-1
Cxxc1,Exosc10,4.197201910146625e-07,1
Sap30,Ddx39,4.247706804478977e-07,1
Ldb1,Vegfa,4.406075942208991e-07,1
Nolc1,Ftsj3,5.030838515175781e-07,-1
Gabpb1,Mcm6,5.043777340357131e-07,-1
