training_node.csvsource,target,Input
Fosl2,Egr1,High
Fosl2,Il1Rn,High
Fosl2,Ldlr,High
Fosl2,Med9,High
Fosl2,Srf,High
Fosl2,Adgre5,High
Fosl2,Arl14,High
Fosl2,Asb1,High
Fosl2,Avpi1,High
Fosl2,B3Gnt5,High
Fosl2,Bcl3,High
Fosl2,Bmp2,High
Fosl2,Camsap2,High
Fosl2,Cfap45,High
Fosl2,Cited2,High
Fosl2,Csf3,High
Fosl2,Dusp13,High
Fosl2,Ezr,High
Fosl2,F11R,High
Fosl2,Fam43A,High
Fosl2,Fosl1,High
Fosl2,Foxo1,High
Fosl2,Gja1,High
Fosl2,Gpat3,High
Fosl2,Gprc5A,High
Fosl2,Ier3,High
Fosl2,Il7R,High
Fosl2,Irf8,High
Fosl2,Isg20,High
Fosl2,Kcnc2,High
Fosl2,Klf4,High
Fosl2,Map3K8,High
Fosl2,Mefv,High
Fosl2,Mgam,High
Fosl2,Mir4300Hg,High
Fosl2,Mmp19,High
Fosl2,Mt2A,High
Fosl2,Pdgfa,High
Fosl2,Phc2,High
Fosl2,Pim3,High
Fosl2,Rgcc,High
Fosl2,Rhod,High
Fosl2,Sertad1,High
Fosl2,Sh2D5,High
Fosl2,Slc6A8,High
Fosl2,Sod2,High
Fosl2,Stx11,High
Fosl2,Tanc1,High
Fosl2,Tm4Sf1,High
Fosl2,Tsc22D1,High
Fosl2,Ybx3,High
Fosl2,Znf491,High
Fosl2,Adm,High
Fosl2,Irs2,High
Fosl2,Clec2B,High
Fosl2,Cxcl8,High
Fosl2,Fgf19,High
Fosl2,Hal,High
Fosl2,Myf6,High
Fosl2,Myl3,High
Fosl2,Nabp1,High
Fosl2,Ncr2,High
Fosl2,Nkx2-5,High
Fosl2,Peli2,High
Fosl2,Piga,High
Fosl2,Pitpnc1,High
Fosl2,Rhob,High
Fosl2,Sla2,High
Fosl2,Slc16A3,High
Fosl2,Slc22A7,High
Fosl2,Snapc1,High
Fosl2,Tfrc,High
Fosl2,Tgif2,High
Fosl2,Znf649-As1,High
Fosl2,Bag3,High
Fosl2,Dlgap1-As2,High
Fosl2,Eif5,High
Fosl2,F3,High
Fosl2,Il1R1,High
Fosl2,Insig1,High
Fosl2,Itga5,High
Fosl2,Kank4,High
Fosl2,Mnt,High
Fosl2,Myo1E,High
Fosl2,Ptp4A2,High
Fosl2,Rassf9,High
Fosl2,Rela,High
Fosl2,Slc6A17,High
Fosl2,Sned1,High
Fosl2,Tmem44-As1,High
Fosl2,Tnfrsf1A,High
Fosl2,Ttc39C,High
Fosl2,Wee1,High
Fosl2,Dennd5A,High
Fosl2,Siva1,High
Fosl2,Tagln,High
Fosl2,Umps,High
Fosl2,Wbp1L,High
Fosl2,Zhx2,High
Fosl2,Bcar3,High
Fosl2,Kras,High
Fosl2,Per1,High
Fosl2,Prnp,High
Fosl2,Qpct,High
Fosl2,Sat1,High
Fosl2,Usp11,High
Fosl2,Bloc1S6,High
Fosl2,Cbx4,High
Fosl2,Ccdc59,High
Fosl2,Cdx4,High
Fosl2,Chmp1B,High
Fosl2,Dennd3,High
Fosl2,Dgat2,High
Fosl2,Dgka,High
Fosl2,Fyttd1,High
Fosl2,Gata4,High
Fosl2,Gk,High
Fosl2,Gla,High
Fosl2,Glipr1,High
Fosl2,Gpam,High
Fosl2,Gpsm1,High
Fosl2,Gpt2,High
Fosl2,Gpx3,High
Fosl2,Hey1,High
Fosl2,Hspa4L,High
Fosl2,Kcna5,High
Fosl2,Krt18,High
Fosl2,Lgi2,High
Fosl2,Linc00623,High
Fosl2,Lmnb1,High
Fosl2,Lpo,High
Fosl2,Lrrc52,High
Fosl2,Lrrtm1,High
Fosl2,Mafb,High
Fosl2,Mark3,High
Fosl2,Muc13,High
Fosl2,Myadm,High
Fosl2,Nfkbid,High
Fosl2,Nfkbiz,High
Fosl2,Nr5A2,High
Fosl2,Ntmt1,High
Fosl2,Otogl,High
Fosl2,Rcl1,High
Fosl2,Rlim,High
Fosl2,Sema4C,High
Fosl2,Smad3,High
Fosl2,Snord89,High
Fosl2,Sp5,High
Fosl2,Sptbn1,High
Fosl2,Srsf3,High
Fosl2,Stpg3,High
Fosl2,Stx4,High
Fosl2,Sun5,High
Fosl2,Tgfb2,High
Fosl2,Tjp2,High
Fosl2,Tsc22D3,High
Fosl2,Usp2,High
Fosl2,Vps13A-As1,High
Fosl2,Zic2,High
Fosl2,Znf330,High
Fosl2,Znf410,High
Fosl2,Znf501,High
Fosl2,Csf3R,High
Fosl2,Htr2C,High
Fosl2,Lrrc10B,High
Fosl2,Emd,High
Fosl2,Rap1B,High
Fosl2,Rfc2,High
Fosl2,Samd13,High
Fosl2,Tbc1D22B,High
Fosl2,Dusp4,High
Fosl2,Ar,High
Fosl2,Cd44,High
Fosl2,Chmp4C,High
Fosl2,Cib1,High
Fosl2,Crabp2,High
Fosl2,Dennd4A,High
Fosl2,Gab2,High
Fosl2,Jakmip2-As1,High
Fosl2,Kif2A,High
Fosl2,Linc01089,High
Fosl2,Matn1,High
Fosl2,Mmp25,High
Fosl2,Myh9,High
Fosl2,Osmr,High
Fosl2,Ppp1R18,High
Fosl2,Pprc1,High
Fosl2,Rasgrp3,High
Fosl2,Rhbdf1,High
Fosl2,Slc47A2,High
Fosl2,Steap1B,High
Fosl2,Stk40,High
Fosl2,Tead4,High
Fosl2,Tgfbr3,High
Fosl2,Ubxn10,High
Fosl2,Vdr,High
Fosl2,Wnt10B,High
Fosl2,Xirp1,High
Foxa1,C4Bpb,High
Foxa1,C8A,High
Foxa1,Fbxo9,High
Foxa1,Gyg2,High
Foxa1,Serpina10,High
Foxa1,Linc01010,High
Foxa1,Slc13A3,High
Foxa1,Bpifa4P,High
Foxa1,Gpr37,High
Foxa1,Mir4300Hg,High
Foxa1,Ppp2R1B,High
Foxa1,Usf2,High
Foxa1,Nr1H4,High
Foxa1,Papss2,High
Foxa1,Pros1,High
Foxa1,Sall1,High
Foxa1,Avpr1A,High
Foxa1,C1R,High
Foxa1,Ptprf,High
Foxa1,Xbp1,High
Foxa1,Ascl3,High
Foxa1,Bhmt,High
Foxa1,Mepe,High
Foxa1,Sgk2,High
Foxa1,Trim50,High
Foxa1,Slc17A2,High
Foxa1,Rab15,High
Foxa2,Elovl6,High
Foxa2,Linc00261,High
Foxa2,Elovl5,High
Foxa2,Slc20A2,High
Foxa2,Hes6,High
Foxc1,Dusp4,High
Foxc1,Htr1B,High
Foxc1,Krt19,High
Foxc1,Medag,High
Foxc1,Acta2,High
Foxc1,Actg2,High
Foxc1,Adgrg1,High
Foxc1,Apod,High
Foxc1,Atp10A,High
Foxc1,Atp1B3,High
Foxc1,Bhlhe41,High
Foxc1,Boc,High
Foxc1,Bves,High
Foxc1,C12Orf75,High
Foxc1,Cav1,High
Foxc1,Ccdc80,High
Foxc1,Ccrl2,High
Foxc1,Cdc42Ep5,High
Foxc1,Chst11,High
Foxc1,Ckb,High
Foxc1,Clec1A,High
Foxc1,Col1A2,High
Foxc1,Cpe,High
Foxc1,Creb5,High
Foxc1,Crtac1,High
Foxc1,Ctbp2,High
Foxc1,Des,High
Foxc1,Diras1,High
Foxc1,Dpysl3,High
Foxc1,Efnb2,High
Foxc1,Emp3,High
Foxc1,Eva1C,High
Foxc1,Fblim1,High
Foxc1,Fbn1,High
Foxc1,Fgf19,High
Foxc1,Flna,High
Foxc1,Flnc,High
Foxc1,Gata2,High
Foxc1,Gja1,High
Foxc1,Gnb4,High
Foxc1,Hspa2,High
Foxc1,Hspb8,High
Foxc1,Id4,High
Foxc1,Igf1R,High
Foxc1,Itprip,High
Foxc1,Jag1,High
Foxc1,Klf2,High
Foxc1,Klf4,High
Foxc1,Lgi2,High
Foxc1,Lima1,High
Foxc1,Lmcd1,High
Foxc1,Loxl2,High
Foxc1,Lrrc1,High
Foxc1,Lrrc32,High
Foxc1,Map1B,High
Foxc1,Mecom,High
Foxc1,Meis3,High
Foxc1,Mfge8,High
Foxc1,Mras,High
Foxc1,Msrb3,High
Foxc1,Mtmr2,High
Foxc1,Muc5B,High
Foxc1,Nav1,High
Foxc1,Nbl1,High
Foxc1,Nfatc1,High
Foxc1,Nrip3,High
Foxc1,Pcsk5,High
Foxc1,Pdlim3,High
Foxc1,Peli2,High
Foxc1,Plekhg5,High
Foxc1,Plekho1,High
Foxc1,Plvap,High
Foxc1,Podxl,High
Foxc1,Rbm24,High
Foxc1,Rgma,High
Foxc1,Scube3,High
Foxc1,Sez6L2,High
Foxc1,Slc1A5,High
Foxc1,Slc25A36,High
Foxc1,Slco2A1,High
Foxc1,Sod3,High
Foxc1,Spon1,High
Foxc1,Taf4B,High
Foxc1,Tcf4,High
Foxc1,Tgfb2,High
Foxc1,Timp4,High
Foxc1,Tinagl1,High
Foxc1,Tpm2,High
Foxc1,Tpm4,High
Foxc1,Znf462,High
Foxd1,Dcaf8L2,High
Foxd1,Lpo,High
Foxd2,Arx,High
Foxj3,Agap9,High
Foxj3,Akap10,High
Foxj3,Arrdc3,High
Foxj3,Asxl1,High
Foxj3,Atxn1,High
Foxj3,Bach1,High
Foxj3,Cdkn1B,High
Foxj3,Cited2,High
Foxj3,Cramp1,High
Foxj3,Crebbp,High
Foxj3,Crebrf,High
Foxj3,Crim1,High
Foxj3,Ddit4,High
Foxj3,Fam117B,High
Foxj3,Foxo1,High
Foxj3,Gse1,High
Foxj3,Ing3,High
Foxj3,Jade1,High
Foxj3,Jund,High
Foxj3,Maml1,High
Foxj3,Max,High
Foxj3,Mxi1,High
Foxj3,Ndrg1,High
Foxj3,Nfkbiz,High
Foxj3,Nr5A2,High
Foxj3,Nrg1,High
Foxj3,Otud1,High
Foxj3,Pan3,High
Foxj3,Peli2,High
Foxj3,Phip,High
Foxj3,Ptbp2,High
Foxj3,Rce1,High
Foxj3,Rora,High
Foxj3,Sh2B3,High
Foxj3,Spry4,High
Foxj3,Sytl2,High
Foxj3,Tcf7L2,High
Foxj3,Tiparp,High
Foxj3,Trib1,High
Foxj3,Vegfa,High
Foxj3,Wee1,High
Foxj3,Zbtb20,High
Foxj3,Zeb1,High
Foxj3,Zfx,High
Foxj3,Zhx2,High
Foxj3,Znf395,High
Foxj3,Znf496,High
Foxj3,Abl2,High
Foxj3,Braf,High
Foxj3,Ccdc186,High
Foxj3,Cnot2,High
Foxj3,Dhrs3,High
Foxj3,Dst,High
Foxj3,Ell,High
Foxj3,Fbxw7,High
Foxj3,Kank1,High
Foxj3,Kansl1,High
Foxj3,Linc-Pint,High
Foxj3,Mast4,High
Foxj3,Phf3,High
Foxj3,Pip5K1A,High
Foxj3,Uckl1,High
Foxj3,Uhrf2,High
Foxj3,Ythdc1,High
Foxj3,Zbtb10,High
Foxj3,Cdk17,High
Foxj3,Ino80D,High
Foxj3,Siah1,High
Foxj3,Ugcg,High
Foxn3,Arhgap35,High
Foxn3,Cobl,High
Foxn3,Copz2,High
Foxn3,Dusp14,High
Foxn3,Gpr146,High
Foxn3,Mbnl3,High
Foxn3,Megf9,High
Foxn3,Nedd4,High
Foxn3,Nfix,High
Foxn3,Sh3D19,High
Foxn3,Slc40A1,High
Foxn3,Tfdp2,High
Foxn3,Thra,High
Foxn3,Zranb1,High
Foxn3,A1Cf,High
Foxn3,Acsf2,High
Foxn3,Ak4,High
Foxn3,Ankrd28,High
Foxn3,Anxa9,High
Foxn3,Arhgap12,High
Foxn3,Auh,High
Foxn3,Baz2B,High
Foxn3,Bcas3,High
Foxn3,Bmf,High
Foxn3,Btbd8,High
Foxn3,Cab39L,High
Foxn3,Cadm1,High
Foxn3,Ccni,High
Foxn3,Clasp2,High
Foxn3,Cnnm3,High
Foxn3,Dcaf11,High
Foxn3,Deptor,High
Foxn3,Dmd,High
Foxn3,Elf1,High
Foxn3,Elovl6,High
Foxn3,Enpep,High
Foxn3,Esrrg,High
Foxn3,Fam13A,High
Foxn3,Fam8A1,High
Foxn3,Foxo1,High
Foxn3,Frat1,High
Foxn3,Gprc5C,High
Foxn3,Grb7,High
Foxn3,Hbp1,High
Foxn3,Hmgb1,High
Foxn3,Hnf1A,High
Foxn3,Ing1,High
Foxn3,Iqgap2,High
Foxn3,Jade2,High
Foxn3,Klf10,High
Foxn3,Kng1,High
Foxn3,Larp1,High
Foxn3,Mxi1,High
Foxn3,Nadk2,High
Foxn3,Ndrg1,High
Foxn3,Nr1D2,High
Foxn3,Nr5A2,High
Foxn3,Paip2B,High
Foxn3,Phf3,High
Foxn3,Pias1,High
Foxn3,Pitpnc1,High
Foxn3,Rbfox2,High
Foxn3,Rbl2,High
Foxn3,Rbp4,High
Foxn3,Rcan3,High
Foxn3,Rmnd5A,High
Foxn3,Rnf38,High
Foxn3,Rora,High
Foxn3,Sema4G,High
Foxn3,Sh2D4A,High
Foxn3,Six4,High
Foxn3,Slc12A6,High
Foxn3,Slc22A9,High
Foxn3,Sorbs3,High
Foxn3,Spats2L,High
Foxn3,St3Gal6,High
Foxn3,Stag2,High
Foxn3,Tbc1D4,High
Foxn3,Tcf7,High
Foxn3,Tnrc6B,High
Foxn3,Tspan8,High
Foxn3,Upf2,High
Foxn3,Zbtb10,High
Foxn3,Zbtb16,High
Foxn3,Zbtb2,High
Foxn3,Zbtb20,High
Foxn3,Zer1,High
Foxn3,Rhobtb3,High
Foxn3,Apbb2,High
Foxn3,Jup,High
Foxo1,Agtr1,High
Foxo1,Atf3,High
Foxo1,Ddit4,High
Foxo1,Efna1,High
Foxo1,Gabarapl1,High
Foxo1,Id2,High
Foxo1,Insig1,High
Foxo1,Jade1,High
Foxo1,Jmy,High
Foxo1,Kank1,High
Foxo1,Klf9,High
Foxo1,Nr4A2,High
Foxo1,Nr5A2,High
Foxo1,Pitx2,High
Foxo1,Rgmb,High
Foxo1,Rhob,High
Foxo1,Rnf19A,High
Foxo1,Rora,High
Foxo1,Rpl13Ap17,High
Foxo1,Srf,High
Foxo1,Wbp1L,High
Foxo1,Zbtb10,High
Foxo1,Zfp36L2,High
Foxo1,Hal,High
Foxo1,Ablim3,High
Foxo1,Acta2,High
Foxo1,Adm,High
Foxo1,Ankrd33B,High
Foxo1,Asxl1,High
Foxo1,Atg2B,High
Foxo1,Bmpr1B,High
Foxo1,Camk1G,High
Foxo1,Ccnl1,High
Foxo1,Cdk17,High
Foxo1,Cdkn1B,High
Foxo1,Clpx,High
Foxo1,Crebrf,High
Foxo1,Cyb561D1,High
Foxo1,Dixdc1,High
Foxo1,Fam83G,High
Foxo1,Fam86B3P,High
Foxo1,Fhit,High
Foxo1,Fosl2,High
Foxo1,Glis3,High
Foxo1,Got1,High
Foxo1,Gphn,High
Foxo1,Gs1-279B7.1,High
Foxo1,Gulp1,High
Foxo1,Hbp1,High
Foxo1,Hipk3,High
Foxo1,Hmgb2,High
Foxo1,Hoxc8,High
Foxo1,Ifrd1,High
Foxo1,Igf2Bp1,High
Foxo1,Il6St,High
Foxo1,Itprip,High
Foxo1,Kdm7A,High
Foxo1,Kiaa0040,High
Foxo1,Klf6,High
Foxo1,Klhl24,High
Foxo1,Linc-Pint,High
Foxo1,Linc00623,High
Foxo1,Map1B,High
Foxo1,Olfm3,High
Foxo1,Peli2,High
Foxo1,Plekhm3,High
Foxo1,Pou6F2,High
Foxo1,Prss2,High
Foxo1,Rarb,High
Foxo1,Rbpms,High
Foxo1,Rhou,High
Foxo1,Ripk4,High
Foxo1,Rnd3,High
Foxo1,Rph3Al,High
Foxo1,Sall1,High
Foxo1,Socs6,High
Foxo1,Spata13,High
Foxo1,Stard13,High
Foxo1,Ston1,High
Foxo1,Syndig1L,High
Foxo1,Tcp11L1,High
Foxo1,Tgfbr3,High
Foxo1,Tle3,High
Foxo1,Tnrc6C,High
Foxo1,Tsc22D3,High
Foxo1,Ubald1,High
Foxo1,Ubald2,High
Foxo1,Ulk1,High
Foxo1,Usp12,High
Foxo1,Vamp1,High
Foxo1,Wee1,High
Foxo1,Zbtb20,High
Foxo1,Irs2,High
Foxo1,Ttc39C,High
Foxo1,Dpf3,High
Foxo1,Hoxa1,High
Foxo1,Jmjd1C,High
Foxo1,Arg2,High
Foxo1,Plpp3,High
Foxo1,Ivns1Abp,High
Foxo1,Jund,High
Foxo1,Scamp1,High
Foxo1,St3Gal6,High
Foxo1,Bcl2L11,High
Foxo1,Cdh19,High
Foxo1,Fgf6,High
Foxo1,Garem1,High
Foxo1,Ldlr,High
Foxo1,Mxd1,High
Foxo1,Pmch,High
Foxo1,Rcan1,High
Foxo1,Linc01348,High
Foxo1,Acsl1,High
Foxo1,Actn3,High
Foxo1,Alx4,High
Foxo1,Arhgef26,High
Foxo1,Chmp1B,High
Foxo1,Clec1A,High
Foxo1,Cxcr4,High
Foxo1,Dhrs9,High
Foxo1,Dok7,High
Foxo1,Ece1,High
Foxo1,Egr1,High
Foxo1,Ell,High
Foxo1,Fbxl16,High
Foxo1,Fbxo34,High
Foxo1,Foxa2,High
Foxo1,Gadd45G,High
Foxo1,Gcnt2,High
Foxo1,Hgd,High
Foxo1,Ing1,High
Foxo1,Jun,High
Foxo1,Junb,High
Foxo1,Kcnc2,High
Foxo1,Kcnn1,High
Foxo1,Klf11,High
Foxo1,Klf5,High
Foxo1,Linc01619,High
Foxo1,Lmcd1,High
Foxo1,Nr4A1,High
Foxo1,Or1I1,High
Foxo1,Ppil4,High
Foxo1,Ppp2R2A,High
Foxo1,Rb1Cc1,High
Foxo1,Sirpa,High
Foxo1,Slc37A4,High
Foxo1,Sorbs1,High
Foxo1,Tfpi,High
Foxo1,Zbtb12,High
Foxo1,Ccdc186,High
Foxo1,Chmp4C,High
Foxo1,Gsx2,High
Foxo1,Net1,High
Foxo1,Rassf6,High
Foxo1,Zc3H13,High
Foxo1,Zxdb,High
Foxo3,Ddit4,High
Foxo3,Ell,High
Foxo3,Irs2,High
Foxo3,Linc-Pint,High
Foxo3,Nrg1,High
Foxo3,Rcl1,High
Foxo3,Rora,High
Foxo3,Tacc1,High
Foxo3,Ttc39C,High
Foxo3,Ubald2,High
Foxo3,Zfp36L2,High
Foxo3,Zfp36,High
Foxo3,Nr5A2,High
Foxo3,Sh3Bp4,High
Foxo3,Wee1,High
Foxo3,Fos,High
Foxo3,Abtb2,High
Foxo3,Acta2,High
Foxo3,Adm,High
Foxo3,Ankrd28,High
Foxo3,Asxl1,High
Foxo3,Atf3,High
Foxo3,Bbc3,High
Foxo3,Bcar3,High
Foxo3,Bnip3L,High
Foxo3,Chst15,High
Foxo3,Cited2,High
Foxo3,Creb5,High
Foxo3,Crebrf,High
Foxo3,Ednrb,High
Foxo3,Efna1,High
Foxo3,Ezr,High
Foxo3,Fam86B3P,High
Foxo3,Fosl2,High
Foxo3,Gulp1,High
Foxo3,Id2,High
Foxo3,Itprip,High
Foxo3,Ivns1Abp,High
Foxo3,Jmy,High
Foxo3,Kank1,High
Foxo3,Lgr6,High
Foxo3,Linc00869,High
Foxo3,Magi1,High
Foxo3,Mdfic,High
Foxo3,Mxi1,High
Foxo3,Nbat1,High
Foxo3,Nr4A2,High
Foxo3,Ntrk3,High
Foxo3,Part1,High
Foxo3,Peli2,High
Foxo3,Rbm47,High
Foxo3,Rgmb,High
Foxo3,Rhou,High
Foxo3,Slc20A2,High
Foxo3,Smap2,High
Foxo3,Snap25,High
Foxo3,Tbx3,High
Foxo3,Tec,High
Foxo3,Tgfbr3,High
Foxo3,Tjp2,High
Foxo3,Tle3,High
Foxo3,Ubald1,High
Foxo3,Zbtb20,High
Foxo3,Adgra3,High
Foxo3,Adgrf1,High
Foxo3,Ankrd33B,High
Foxo3,Anxa2P1,High
Foxo3,Caln1,High
Foxo3,Cpeb4,High
Foxo3,Cxcr4,High
Foxo3,Egr1,High
Foxo3,Eva1C,High
Foxo3,Fem1C,High
Foxo3,Fkbp5,High
Foxo3,Foxo1,High
Foxo3,Gcnt2,High
Foxo3,Heca,High
Foxo3,Ifrd1,High
Foxo3,Insig1,High
Foxo3,Jade1,High
Foxo3,Jund,High
Foxo3,Klf6,High
Foxo3,Klf9,High
Foxo3,Linc01348,High
Foxo3,Lurap1L,High
Foxo3,Per1,High
Foxo3,Ppm1L,High
Foxo3,Rbpms,High
Foxo3,Rgcc,High
Foxo3,Rnf19A,High
Foxo3,Rph3Al,High
Foxo3,Smoc1,High
Foxo3,Snx33,High
Foxo3,Socs2,High
Foxo3,Sort1,High
Foxo3,Srf,High
Foxo3,St3Gal6,High
Foxo3,Stard13,High
Foxo3,Sun2,High
Foxo3,Tead1,High
Foxo3,Tsc22D3,High
Foxo3,Zfand5,High
Foxo3,Acss1,High
Foxo3,Adgrg2,High
Foxo3,Agtr1,High
Foxo3,Akap7,High
Foxo3,Ano3,High
Foxo3,Arrdc3,High
Foxo3,Atad2,High
Foxo3,Atg2B,High
Foxo3,Bach1,High
Foxo3,Bclaf1,High
Foxo3,Bmpr1B,High
Foxo3,Btnl9,High
Foxo3,Casc11,High
Foxo3,Ccdc68,High
Foxo3,Ccnl1,High
Foxo3,Cdkn1B,High
Foxo3,Cdkn1C,High
Foxo3,Cir1,High
Foxo3,Clasp1,High
Foxo3,Cldn2,High
Foxo3,Cnot2,High
Foxo3,Cyfip2,High
Foxo3,Daam2,High
Foxo3,Dixdc1,High
Foxo3,Dsp,High
Foxo3,Egln1,High
Foxo3,Fhit,High
Foxo3,Foxg1,High
Foxo3,Fry,High
Foxo3,Gabarapl1,High
Foxo3,Gadd45G,High
Foxo3,Glis3,High
Foxo3,Glra2,High
Foxo3,Gphn,High
Foxo3,Gpr146,High
Foxo3,Hmgb2,High
Foxo3,Hr,High
Foxo3,Igsf11,High
Foxo3,Il15,High
Foxo3,Il15Ra,High
Foxo3,Il6St,High
Foxo3,Inpp5K,High
Foxo3,Kcnj16,High
Foxo3,Kdm3A,High
Foxo3,Kdm8,High
Foxo3,Kiaa0040,High
Foxo3,Kiaa1217,High
Foxo3,Klhl24,High
Foxo3,Lamc2,High
Foxo3,Linc01210,High
Foxo3,Map1B,High
Foxo3,Med13L,High
Foxo3,Ntf3,High
Foxo3,Odam,High
Foxo3,Osbpl9,High
Foxo3,Parp8,High
Foxo3,Ppfibp1,High
Foxo3,Ppp1Cb,High
Foxo3,Psd3,High
Foxo3,Ptpn21,High
Foxo3,Rfpl3,High
Foxo3,Ripk4,High
Foxo3,Rnd3,High
Foxo3,Rnf125,High
Foxo3,Rnf157,High
Foxo3,Rpl13Ap17,High
Foxo3,Sall1,High
Foxo3,Serinc3,High
Foxo3,Siah1,High
Foxo3,Slc25A45,High
Foxo3,Slc6A17,High
Foxo3,Sox6,High
Foxo3,Spata13,High
Foxo3,Ston1,High
Foxo3,Tank,High
Foxo3,Tnrc6C,High
Foxo3,Tshz2,High
Foxo3,Usp12,High
Foxo3,Usp2,High
Foxo3,Usp9X,High
Foxo3,Vps37B,High
Foxo3,Wbp1L,High
Foxo3,Ythdc1,High
Foxo3,Avpi1,High
Foxo3,Cdc37L1,High
Foxo3,Dusp16,High
Foxo3,Errfi1,High
Foxo3,Gpat3,High
Foxo3,Ptp4A1,High
Foxo3,Zbtb10,High
Foxo3,Zc3H13,High
Foxo3,Znf330,High
Foxo3,Ankrd44,High
Foxo3,Atg2A,High
Foxo3,Cacna1G-As1,High
Foxo3,Csf3R,High
Foxo3,Emp2,High
Foxo3,Gsn,High
Foxo3,Ica1,High
Foxo3,Junb,High
Foxo3,Kcnc2,High
Foxo3,Mtus1,High
Foxo3,Phf3,High
Foxo3,Pnrc1,High
Foxo3,Ppm1B,High
Foxo3,Prkd1,High
Foxo3,Rev3L,High
Foxo3,Srpx2,High
Foxo3,Syt7,High
Foxo3,Trib1,High
Foxo3,Mt1E,High
Foxo3,Nfkbia,High
Foxo3,Fam53C,High
Foxo3,Flcn,High
Foxo3,Gne,High
Foxo3,Gp9,High
Foxo3,Hivep1,High
Foxo3,Ing1,High
Foxo3,Klf5,High
Foxo3,Klhl21,High
Foxo3,Lima1,High
Foxo3,Myo18B,High
Foxo3,Myo1B,High
Foxo3,Plpp3,High
Foxo3,Rassf8-As1,High
Foxo3,Sik2,High
Foxo3,Slc20A1,High
Foxo3,Tmem179,High
Foxo3,Ugcg,High
Foxo3,Zxdb,High
Foxo3,Rbms1,High
Foxo3,Tfpi,High
Foxo3,C21Orf91,High
Foxo3,Acsl1,High
Foxo3,Actb,High
Foxo3,Ago2,High
Foxo3,Akap10,High
Foxo3,Arg1,High
Foxo3,Arhgef26,High
Foxo3,Cab39L,High
Foxo3,Cdk9,High
Foxo3,Cfl2,High
Foxo3,Chmp4C,High
Foxo3,Clec1A,High
Foxo3,Clk1,High
Foxo3,Eif1B-As1,High
Foxo3,Garem1,High
Foxo3,Gpbp1,High
Foxo3,Gpc1,High
Foxo3,Hal,High
Foxo3,Herpud2,High
Foxo3,Il17B,High
Foxo3,Il1Rl1,High
Foxo3,Jmjd1C,High
Foxo3,Kcnn1,High
Foxo3,Krt1,High
Foxo3,Ldlr,High
Foxo3,Linc01619,High
Foxo3,Lox,High
Foxo3,Map3K3,High
Foxo3,Mfge8,High
Foxo3,Mxd1,High
Foxo3,Net1,High
Foxo3,Nhlh1,High
Foxo3,Ppp1R15A,High
Foxo3,Ppp2R2A,High
Foxo3,Rcan1,High
Foxo3,Rhob,High
Foxo3,Sbk1,High
Foxo3,Slc37A4,High
Foxo3,Spry2,High
Foxo3,Tbcel,High
Foxo3,Tm2D3,High
Foxo3,Tuba4B,High
Foxo3,Uaca,High
Foxo3,Ube2B,High
Foxo3,Ube2H,High
Foxo3,Wbp2,High
Foxo3,Znf487,High
Foxo3,Aass,High
Foxo3,Pfkfb3,High
Foxo3,Klhl15,High
Foxo3,Tgfbr2,High
Foxo3,Baz1A,High
Foxo3,Adgre5,High
Foxo3,Ascc1,High
Foxo3,Bcas1,High
Foxo3,Cast,High
Foxo3,Cdh19,High
Foxo3,Cds1,High
Foxo3,Dgkh,High
Foxo3,Dlc1,High
Foxo3,Flvcr2,High
Foxo3,Gch1,High
Foxo3,Glipr1,High
Foxo3,Hcls1,High
Foxo3,Lmcd1,High
Foxo3,Mcc,High
Foxo3,Ms4A15,High
Foxo3,Mt2A,High
Foxo3,Myh6,High
Foxo3,Nudt4,High
Foxo3,P4Ha1,High
Foxo3,Pde8A,High
Foxo3,Ppp6R3,High
Foxo3,Rasef,High
Foxo3,Rbm24,High
Foxo3,Scnn1A,High
Foxo3,Slc2A3,High
Foxo3,Slc2A4,High
Foxo3,Snip1,High
Foxo3,Snord89,High
Foxo3,Usp47,High
Foxo3,Zbtb12,High
Foxo4,Abtb1,High
Foxo4,Auh,High
Foxo4,Cdkl3,High
Foxo4,Cnnm3,High
Foxo4,Fam8A1,High
Foxo4,Fbxl20,High
Foxo4,Hoxc10,High
Foxo4,Mxi1,High
Foxo4,Natd1,High
Foxo4,Paip2B,High
Foxo4,Rbp4,High
Foxo4,Tfr2,High
Foxo4,Ypel3,High
Foxo4,Cbx7,High
Foxo4,Klf15,High
Foxo4,Linc00869,High
Foxo4,Pmm1,High
Foxo4,Calcoco1,High
Foxo4,Cdk19,High
Foxo4,Nfix,High
Foxo4,Plekhm3,High
Foxo4,Rab37,High
Foxo4,Tmem187,High
Foxo4,Tmem94,High
Foxo4,Tshz1,High
Foxo4,Ahcyl2,High
Foxo4,Cga,High
Foxo4,Ltbp3,High
Foxo4,Rhobtb3,High
Foxo4,Sdhc,High
Foxo4,Agfg2,High
Foxo4,Fuz,High
Foxo4,Wdtc1,High
Foxo4,Arg1,High
Foxo4,Asb10,High
Foxo4,Atraid,High
Foxo4,Bcas3,High
Foxo4,Bcl2L11,High
Foxo4,Bmf,High
Foxo4,Brox,High
Foxo4,Cab39L,High
Foxo4,Cadm1,High
Foxo4,Camk2N1,High
Foxo4,Carhsp1,High
Foxo4,Ccdc69,High
Foxo4,Ccni,High
