0,1,2
233,Prdm16,Prdm16
234,Prkaa2,Prkaa2
235,Prrx2,Prrx2
236,Pura,Pura
237,Rab14,Rab14
238,Rara,Rara
239,Rarb,Rarb
240,Rarg,Rarg
241,Rax2,Rax2
242,Rb1,Rb1
243,Rbbp5,Rbbp5
244,Rcor1,Rcor1
245,Rela,Rela
246,Relb,Relb
247,Rest,Rest
248,Rfx1,Rfx1
249,Rfx2,Rfx2
250,Rfx5,Rfx5
251,Rhoxf1,Rhoxf1
252,Rora,Rora
253,Rxra,Rxra
254,Sall2,Sall2
255,Setdb1,Setdb1
256,Six2,Six2
257,Six3,Six3
258,Six5,Six5
259,Smad5,Smad5
260,Smad7,Smad7
261,Smad9,Smad9
262,Smarca4,Smarca4
263,Snapc4,Snapc4
264,Sox14,Sox14
265,Sox21,Sox21
266,Sox6,Sox6
267,Sp1,Sp1
268,Sp2,Sp2
269,Spdef,Spdef
270,Spib,Spib
271,Srebf1,Srebf1
272,Srebf2,Srebf2
273,Srf,Srf
274,Stat1,Stat1
275,Stat2,Stat2
276,Stat3,Stat3
277,Stat4,Stat4
278,Stat5A,Stat5A
279,Stat6,Stat6
280,Taf1,Taf1
281,Taf7,Taf7
282,Tal1,Tal1
283,Tal2,Tal2
284,Tbp,Tbp
285,Tbx19,Tbx19
286,Tbx21,Tbx21
287,Tcf7,Tcf7
288,Tcf7L2,Tcf7L2
289,Tcfl5,Tcfl5
290,Tead1,Tead1
291,Tead2,Tead2
292,Tead3,Tead3
293,Tead4,Tead4
294,Tef,Tef
295,Tfap2A,Tfap2A
296,Tfap4,Tfap4
297,Tfcp2L1,Tfcp2L1
298,Tfdp1,Tfdp1
299,Tgif1,Tgif1
300,Tgif2,Tgif2
301,Thap1,Thap1
302,Thap11,Thap11
303,Thra,Thra
304,Thrb,Thrb
305,Tlx2,Tlx2
306,Tp53,Tp53
307,Tp73,Tp73
308,Tppp,Tppp
309,Ubtf,Ubtf
310,Uqcrb,Uqcrb
311,Vax2,Vax2
312,Vdr,Vdr
313,Wrnip1,Wrnip1
314,Xbp1,Xbp1
315,Yy1,Yy1
316,Zbtb12,Zbtb12
317,Zbtb14,Zbtb14
318,Zbtb7A,Zbtb7A
319,Zbtb7B,Zbtb7B
320,Zfp30,Zfp30
321,Zfp37,Zfp37
322,Zfp62,Zfp62
323,Zfp82,Zfp82
324,Zic2,Zic2
325,Zkscan1,Zkscan1
326,Znf101,Znf101
327,Znf112,Znf112
328,Znf134,Znf134
329,Znf136,Znf136
330,Znf143,Znf143
331,Znf211,Znf211
332,Znf219,Znf219
333,Znf224,Znf224
334,Znf227,Znf227
335,Znf229,Znf229
336,Znf23,Znf23
337,Znf235,Znf235
338,Znf248,Znf248
339,Znf260,Znf260
340,Znf266,Znf266
341,Znf274,Znf274
342,Znf3,Znf3
343,Znf300,Znf300
344,Znf319,Znf319
345,Znf35,Znf35
346,Znf358,Znf358
347,Znf37A,Znf37A
348,Znf384,Znf384
349,Znf404,Znf404
350,Znf426,Znf426
351,Znf441,Znf441
352,Znf471,Znf471
353,Znf490,Znf490
354,Znf491,Znf491
355,Znf501,Znf501
356,Znf513,Znf513
357,Znf524,Znf524
358,Znf547,Znf547
359,Znf554,Znf554
360,Znf555,Znf555
361,Znf557,Znf557
362,Znf580,Znf580
363,Znf585B,Znf585B
364,Znf589,Znf589
365,Znf607,Znf607
366,Znf616,Znf616
367,Znf625,Znf625
368,Znf626,Znf626
369,Znf671,Znf671
370,Znf718,Znf718
371,Znf740,Znf740
372,Znf76,Znf76
373,Znf768,Znf768
374,Znf770,Znf770
375,Znf778,Znf778
376,Znf787,Znf787
377,Znf79,Znf79
378,Znf791,Znf791
379,Znf8,Znf8
380,Znf816,Znf816
381,Znf821,Znf821
382,Znf835,Znf835
383,Znf91,Znf91
384,Zscan12,Zscan12
385,Zscan18,Zscan18
386,Zscan2,Zscan2
387,A1Bg-As1,A1Bg-As1
388,A1Cf,A1Cf
389,A2M,A2M
390,A2Ml1,A2Ml1
391,A4Galt,A4Galt
392,Aaas,Aaas
393,Aacs,Aacs
394,Aadacp1,Aadacp1
395,Aadat,Aadat
396,Aagab,Aagab
397,Aak1,Aak1
398,Aamdc,Aamdc
399,Aamp,Aamp
400,Aar2,Aar2
401,Aars2,Aars2
402,Aasdh,Aasdh
403,Aasdhppt,Aasdhppt
404,Aass,Aass
405,Aatf,Aatf
406,Aatk,Aatk
407,Abat,Abat
408,Abca2,Abca2
409,Abca3,Abca3
410,Abca5,Abca5
411,Abca7,Abca7
412,Abcb1,Abcb1
413,Abcb10,Abcb10
414,Abcb4,Abcb4
415,Abcb5,Abcb5
416,Abcb6,Abcb6
417,Abcb7,Abcb7
418,Abcb8,Abcb8
419,Abcb9,Abcb9
420,Abcc1,Abcc1
421,Abcc10,Abcc10
422,Abcc11,Abcc11
423,Abcc2,Abcc2
424,Abcc3,Abcc3
425,Abcc4,Abcc4
426,Abcc5,Abcc5
427,Abcc6P1,Abcc6P1
428,Abcd1,Abcd1
429,Abcd3,Abcd3
430,Abcd4,Abcd4
431,Abce1,Abce1
432,Abcf1,Abcf1
433,Abcf2,Abcf2
434,Abcf3,Abcf3
435,Abcg2,Abcg2
436,Abcg4,Abcg4
437,Abcg8,Abcg8
438,Abhd11,Abhd11
439,Abhd12,Abhd12
440,Abhd13,Abhd13
441,Abhd14B,Abhd14B
442,Abhd15,Abhd15
443,Abhd16A,Abhd16A
444,Abhd17A,Abhd17A
445,Abhd17B,Abhd17B
446,Abhd17C,Abhd17C
447,Abhd18,Abhd18
448,Abhd2,Abhd2
449,Abhd3,Abhd3
450,Abhd4,Abhd4
451,Abhd5,Abhd5
452,Abhd6,Abhd6
453,Abhd8,Abhd8
454,Abi2,Abi2
455,Abi3,Abi3
456,Abl1,Abl1
457,Abl2,Abl2
458,Ablim2,Ablim2
459,Ablim3,Ablim3
460,Abo,Abo
461,Abracl,Abracl
462,Abtb1,Abtb1
463,Abtb2,Abtb2
464,Acaa1,Acaa1
465,Acaca,Acaca
466,Acacb,Acacb
467,Acad8,Acad8
468,Acadm,Acadm
469,Acadvl,Acadvl
470,Acap1,Acap1
471,Acap2,Acap2
472,Acap3,Acap3
473,Acat2,Acat2
474,Acbd3,Acbd3
475,Acbd4,Acbd4
476,Acbd5,Acbd5
477,Accs,Accs
478,Acd,Acd
479,Ace,Ace
480,Ace2,Ace2
481,Acer1,Acer1
482,Acer2,Acer2
483,Acer3,Acer3
484,Ache,Ache
485,Acin1,Acin1
486,Ackr1,Ackr1
487,Ackr2,Ackr2
488,Acly,Acly
489,Acmsd,Acmsd
490,Aco1,Aco1
491,Acot6,Acot6
492,Acot7,Acot7
493,Acot8,Acot8
494,Acot9,Acot9
495,Acox2,Acox2
496,Acox3,Acox3
497,Acp5,Acp5
498,Acp6,Acp6
499,Acr,Acr
500,Acrv1,Acrv1
501,Acsf2,Acsf2
502,Acsf3,Acsf3
503,Acsl1,Acsl1
504,Acsl3,Acsl3
505,Acsl4,Acsl4
506,Acsl5,Acsl5
507,Acsm3,Acsm3
508,Acss1,Acss1
509,Acss2,Acss2
510,Acss3,Acss3
511,Acta1,Acta1
512,Acta2,Acta2
513,Actb,Actb
514,Actc1,Actc1
515,Actg1,Actg1
516,Actg2,Actg2
517,Actl10,Actl10
518,Actl6A,Actl6A
519,Actl7A,Actl7A
520,Actl7B,Actl7B
521,Actl8,Actl8
522,Actn1,Actn1
523,Actn2,Actn2
524,Actn3,Actn3
525,Actn4,Actn4
526,Actr10,Actr10
527,Actr1A,Actr1A
528,Actr1B,Actr1B
529,Actr2,Actr2
530,Actr3B,Actr3B
531,Actr3C,Actr3C
532,Actr6,Actr6
533,Actr8,Actr8
534,Acvr1,Acvr1
535,Acvr1B,Acvr1B
536,Acvr1C,Acvr1C
537,Acvr2A,Acvr2A
538,Acvr2B,Acvr2B
539,Acvr2B-As1,Acvr2B-As1
540,Acvrl1,Acvrl1
541,Acy1,Acy1
542,Acy3,Acy3
543,Acyp1,Acyp1
544,Acyp2,Acyp2
545,Ada,Ada
546,Adam10,Adam10
547,Adam11,Adam11
548,Adam12,Adam12
549,Adam15,Adam15
550,Adam17,Adam17
551,Adam19,Adam19
552,Adam21,Adam21
553,Adam28,Adam28
554,Adam9,Adam9
555,Adamts1,Adamts1
556,Adamts10,Adamts10
557,Adamts12,Adamts12
558,Adamts13,Adamts13
559,Adamts14,Adamts14
560,Adamts15,Adamts15
561,Adamts16,Adamts16
562,Adamts2,Adamts2
563,Adamts3,Adamts3
564,Adamts4,Adamts4
565,Adamts6,Adamts6
566,Adamts7,Adamts7
567,Adamts9,Adamts9
568,Adamts9-As2,Adamts9-As2
569,Adamtsl3,Adamtsl3
570,Adamtsl4,Adamtsl4
571,Adamtsl5,Adamtsl5
572,Adap1,Adap1
573,Adap2,Adap2
574,Adar,Adar
575,Adarb1,Adarb1
576,Adarb2-As1,Adarb2-As1
577,Adat1,Adat1
578,Adat2,Adat2
579,Adat3,Adat3
580,Adck1,Adck1
581,Adck5,Adck5
582,Adcy1,Adcy1
583,Adcy10P1,Adcy10P1
584,Adcy2,Adcy2
585,Adcy3,Adcy3
586,Adcy4,Adcy4
587,Adcy6,Adcy6
588,Adcy7,Adcy7
589,Adcy9,Adcy9
590,Adcyap1,Adcyap1
591,Add1,Add1
592,Add2,Add2
593,Add3,Add3
594,Adgra1,Adgra1
595,Adgra2,Adgra2
596,Adgra3,Adgra3
597,Adgrb1,Adgrb1
598,Adgrb2,Adgrb2
599,Adgrd1,Adgrd1
600,Adgre1,Adgre1
601,Adgre5,Adgre5
602,Adgrf1,Adgrf1
603,Adgrf4,Adgrf4
604,Adgrg1,Adgrg1
605,Adgrg2,Adgrg2
606,Adgrg5,Adgrg5
607,Adgrg6,Adgrg6
608,Adgrg7,Adgrg7
609,Adgrl1,Adgrl1
610,Adgrv1,Adgrv1
611,Adh1C,Adh1C
612,Adh5,Adh5
613,Adi1,Adi1
614,Adig,Adig
615,Adipor1,Adipor1
616,Adipor2,Adipor2
617,Adk,Adk
618,Adm,Adm
619,Adm2,Adm2
620,Adm5,Adm5
621,Adnp,Adnp
622,Adnp2,Adnp2
623,Ado,Ado
624,Adora1,Adora1
625,Adora2B,Adora2B
626,Adpgk,Adpgk
627,Adprh,Adprh
628,Adprhl1,Adprhl1
629,Adra1B,Adra1B
630,Adra2B,Adra2B
631,Adra2C,Adra2C
632,Adrb1,Adrb1
633,Adrm1,Adrm1
634,Adsl,Adsl
635,Adtrp,Adtrp
636,Aebp1,Aebp1
637,Aebp2,Aebp2
638,Aen,Aen
639,Afap1-As1,Afap1-As1
640,Aff1,Aff1
641,Aff2,Aff2
642,Aff3,Aff3
643,Afg3L1P,Afg3L1P
644,Afp,Afp
645,Aftph,Aftph
646,Aga,Aga
647,Agap1,Agap1
648,Agap2,Agap2
649,Agap2-As1,Agap2-As1
650,Agap3,Agap3
651,Agap4,Agap4
652,Agap9,Agap9
653,Agbl2,Agbl2
654,Agbl5,Agbl5
655,Agfg1,Agfg1
656,Agfg2,Agfg2
657,Aggf1,Aggf1
658,Agl,Agl
659,Ago1,Ago1
660,Ago2,Ago2
661,Ago3,Ago3
662,Agpat1,Agpat1
663,Agpat2,Agpat2
664,Agpat3,Agpat3
665,Agpat4,Agpat4
666,Agpat4-It1,Agpat4-It1
667,Agpat5,Agpat5
668,Agps,Agps
669,Agr2,Agr2
670,Agrn,Agrn
671,Agrp,Agrp
672,Agtpbp1,Agtpbp1
673,Agtr1,Agtr1
674,Agtrap,Agtrap
675,Agxt,Agxt
676,Agxt2,Agxt2
677,Ahctf1,Ahctf1
678,Ahcy,Ahcy
679,Ahcyl1,Ahcyl1
680,Ahcyl2,Ahcyl2
681,Ahdc1,Ahdc1
682,Ahi1,Ahi1
683,Ahnak,Ahnak
684,Ahnak2,Ahnak2
685,Ahr,Ahr
686,Ahsa1,Ahsa1
687,Ahsg,Ahsg
688,Ahsp,Ahsp
689,Aida,Aida
690,Aif1L,Aif1L
691,Aifm1,Aifm1
692,Aifm2,Aifm2
693,Aifm3,Aifm3
694,Aig1,Aig1
695,Aimp1,Aimp1
696,Aimp2,Aimp2
697,Aip,Aip
698,Aire,Aire
699,Ajuba,Ajuba
700,Ak1,Ak1
