0,1,2,3,4,5,6
Arid3A,Arid3A,10.065005416407786,10.269687748008273,10.454453529321013,10.56112562090621,10.613457984010878
Arnt,Arnt,6.630376347015205,6.955746761562871,6.394205430358875,7.178548666930648,6.716899465509533
Arx,Arx,5.467605550082998,5.6830413857749615,5.61706334388818,5.685005700005656,5.6916272149110565
Atf1,Atf1,7.482807956726668,7.8047548709288845,7.841532898994546,7.811984719351674,7.95607601816266
Atf3,Atf3,5.275379596253622,5.910892526245942,5.316990446750088,5.473462236235279,5.486392594275964
Atf4,Atf4,11.68321834201926,12.440096582595391,12.287762392014479,12.744937523906444,12.88186596507593
Atf6,Atf6,8.040782865806074,7.945794956740061,8.145728396917745,8.090412398629276,7.978386328477521
Barhl1,Barhl1,6.717196587208685,6.613335194188109,6.531381460516312,6.674404153937691,6.71227477948076
Batf,Batf,7.054794223003139,6.737190997206384,6.889919651572979,7.0601554952546035,7.043118445913007
Bcl3,Bcl3,8.145779336841162,8.930668354691978,8.453956488708284,8.652139881293966,8.206770188686825
Bcl6B,Bcl6B,5.294436954376965,5.303171887509915,5.44205881379048,5.290080302404341,5.500483401473115
Brf2,Brf2,9.177867974518016,8.948357496864832,9.208470113494789,8.990576746207916,9.27464993139137
Canx,Canx,12.876228186812938,12.77551974942253,12.884720012560475,12.696462639556337,12.702682070495726
Cbx7,Cbx7,5.693626341591109,5.548333865082185,5.403949364232865,5.8531639789129875,5.812926007495152
Cdx1,Cdx1,6.555662799224037,6.522620761042079,6.385948657855972,6.429894880651014,6.56152980620512
Cdx2,Cdx2,7.309430878103395,7.125327362913984,7.3314245699364005,6.8226451806454245,6.535586436354843
Cebpa,Cebpa,11.201168242463934,10.775470366298686,11.687377141442362,10.607049762745504,10.777690935099733
Cebpb,Cebpb,11.444590461385031,12.512715775818823,12.075287490632764,12.229941351686897,11.616885739434682
Cebpd,Cebpd,10.626749399583893,11.290554572687798,11.09988252965876,10.64537022483828,10.187368570064136
Cebpg,Cebpg,9.586670932107026,10.683421595948229,9.89565606089339,10.52274498199155,9.749070501598373
Cers4,Cers4,6.345715708784144,6.465974464504069,6.5074246710122186,6.263535254726585,5.999549087340949
