0,1,2,3,4,5,6,7,8,9,10,11
0.07023233,-0.0083996765,0.10347414,-0.1807905,-0.47137833,-0.21238272,0.11672574,-0.1348403,0.5104381,0.8889334,0.5941135,0.6392475
-0.50885314,-0.90316933,-0.41085812,-0.6968911,-0.55146796,-0.87583965,-0.0015230887,0.7520024,-0.3943348,-0.583137,-0.048302893,-0.43245673
-0.35131365,-0.57413745,0.58167726,0.54723144,0.5816772,0.54723144,0.66710615,0.26279435,0.6230614,0.70900065,-0.21434732,0.24354807
-0.4289545,-0.5225909,-0.5389044,-0.91335815,-0.75470734,-0.79333687,-0.2988461,-0.6062128,0.18006015,0.3184747,0.48142365,0.9259215
0.26242,-0.06481291,-0.48179066,-0.7318626,-0.01837558,-0.30409214,0.3295539,-0.5473998,-1.4263988,0.68122596,-0.5125566,-1.33485
-0.093150795,0.8161479,-0.09692685,0.63457215,-0.017446738,0.6765479,-0.041221876,-0.036602166,0.77835715,-0.51980865,-0.99856824,0.006012235
-0.47369415,-0.23848133,-0.47369415,-0.23848133,-0.47369415,-0.23848133,-0.47369415,-0.23848133,-0.47369415,-0.23848133,0.48887098,0.26152065
0.16092345,0.3302002,0.15807338,0.3166206,0.22669722,0.3485077,0.39502284,0.6502981,0.072298735,0.2847078,0.32824785,-0.13655962
-0.2981445,-0.5097668,-0.17635319,-0.5807064,-0.39246774,-0.72188306,-0.085027784,0.206345,-0.13909113,-0.09164579,0.62110054,0.7984501
-0.33736804,0.15290987,-0.33736804,0.15290987,-0.33736804,0.15290987,0.6265869,-0.40594715,0.12342772,-0.0452634,0.12342772,-0.0452634
0.6265869,-0.40594715,0.6265869,-0.40594715,0.6265869,-0.40594715,0.6265869,-0.40594715,0.6265869,-0.40594715,-0.35156167,0.086484134
-0.2147295,0.45003843,-0.01667932,-0.1655334,-0.17098954,-0.46997356,-0.047847,-0.21451779,-0.039515663,-0.06291482,-0.26915216,0.23955357
0.20355888,0.035013,0.20283514,0.33005092,0.6656274,0.71824443,0.43101335,-0.020956885,0.6591657,0.4880607,0.087531075,0.06751579
-0.24954158,-0.5296108,0.54672587,0.41042435,-0.49323237,-0.32868233,-0.40804273,-0.70294327,0.34103507,0.7059528,-0.16249615,-0.080062166
0.34895048,-0.21684988,0.34895048,-0.21684988,0.34895048,-0.21684988,-0.7029699,0.34860256,-0.7029699,0.34860256,-0.7029699,0.34860256
-0.49032968,0.03293445,-0.45254615,0.12244265,-1.4459745,0.023435948,0.70947677,-0.1909811,0.04386351,0.44391757,-0.6114101,-1.0494504
0.7637595,0.4230433,0.95706636,0.16279148,0.91869324,0.20778212,0.83833313,0.5888149,-0.27206987,-0.33101392,-0.014998283,-0.25201845
-0.16350861,0.32469964,-0.115166664,0.29686844,0.43315643,0.15610756,-0.105694935,0.6251249,-0.18514842,0.122589156,0.088731304,0.011509325
0.12342772,-0.0452634,0.12342772,-0.0452634,-0.33736804,0.15290987,0.12342772,-0.0452634,0.12342772,-0.0452634,-0.35156167,0.086484134
0.6265869,-0.40594715,0.6265869,-0.40594715,0.6265869,-0.40594715,-0.35156167,0.086484134,-0.35156167,0.086484134,-0.07800029,0.17101495
0.6265869,-0.40594715,0.6265869,-0.40594715,0.6265869,-0.40594715,0.6265869,-0.40594715,0.6265869,-0.40594715,-0.35156167,0.086484134
0.23164332,0.5274378,0.15827018,0.3731315,0.4676668,0.3906889,-0.70511234,0.40592477,-0.07190852,0.17368768,-0.90815574,-0.63223547
-0.31129858,-0.6852407,-0.5400982,-0.6167428,-0.6754384,-0.54173493,0.075313434,-0.11572783,0.015976451,-0.0027729534,0.769457,1.0390017
-0.049890693,0.11597817,0.34306744,-0.4382213,0.34306744,-0.4382213,0.028451182,-0.028855849,0.028451182,-0.028855849,-0.33736804,0.15290987
0.049028914,-0.05956622,0.1393152,-0.12775145,0.049028914,-0.059566136,-0.28023285,0.037198614,0.58484536,0.25455865,0.36148316,0.66304886
0.45833215,0.01696166,0.34951687,-0.30636778,-0.23874322,0.14979185,0.39325705,-0.11564359,0.84986156,0.62301564,-0.20611984,0.8111908
-0.40012076,-0.08220939,-0.7498099,-0.17656122,0.42940515,-0.620584,-0.07530925,0.12181793,-0.5794372,0.45280614,-0.6958731,0.27760628
-0.11904244,0.66388804,-0.04877918,0.57260436,0.3962727,0.5962843,-0.054587003,0.69305795,-0.16711546,-0.044933204,0.47585446,0.7904129
0.2464244,-0.32970506,0.2464244,-0.32970506,-0.07800029,0.17101495,0.43631938,-0.061336968,0.43631938,-0.061336968,-0.07800029,0.17101495
0.36396036,0.017169576,0.33888048,-0.14246103,0.26561025,-0.065681085,0.3090899,-0.4968452,0.58107686,-0.6948838,0.2777381,-0.28675675
0.30962187,0.08296916,0.45951784,0.17457193,0.37098646,0.0992932,-0.10303217,0.10611002,0.5826871,0.24931003,0.2912902,0.76770735
-0.20759769,0.29852358,-0.20759767,0.29852363,-0.20759769,0.29852358,-0.25000596,0.0524879,0.23530659,-0.45720798,0.060225707,0.42566925
0.41931668,-0.3909789,0.34895048,-0.21684988,0.34895048,-0.21684988,0.34895048,-0.21684988,-1.1655743,-0.023433443,0.43631938,-0.061336968
-0.35156167,0.086484134,-0.35156167,0.086484134,-0.35156167,0.086484134,0.2464244,-0.32970506,-0.35156167,0.086484134,0.6265869,-0.40594715
0.58618635,0.22695518,0.58618647,0.22695518,0.66124994,0.2740351,0.1542919,0.25299,0.12353572,-0.17017506,-0.22568779,0.07216206
0.2464244,-0.32970506,0.2464244,-0.32970506,0.2464244,-0.32970506,0.43631938,-0.061336968,-1.1655743,-0.023433443,0.34895048,-0.21684988
-1.5790106,0.048670243,-0.4731735,-0.37145945,-0.4731735,-0.37145954,0.4589029,-0.3184997,-0.449852,-1.244791,-0.35297447,-0.6542306
-0.2531652,0.003172908,0.008824982,0.23419675,0.54954463,0.32156408,0.18106255,-0.051976953,0.83861214,-0.19560131,-0.77236176,0.1800967
0.3231178,0.35937932,0.38336444,-0.13738655,0.29202512,0.50788814,-0.014098082,-0.29396582,0.34276837,0.33736315,0.06302604,0.20287402
0.12342772,-0.0452634,0.12342772,-0.0452634,-0.33736804,0.15290987,-0.33736804,0.15290987,0.12342772,-0.0452634,-0.35156167,0.086484134
0.04408806,0.79217905,0.12007275,0.68974686,0.6033775,0.7462659,-0.37533018,0.5459713,-0.13852341,-0.0055844076,-0.029132266,0.8039512
-0.25357908,0.0287738,0.3780558,0.45971385,-0.27455825,0.32789457,-0.17428775,-0.09411746,0.75304955,-0.379806,-0.33739883,-0.16526343
0.20848686,-0.008765634,0.23170337,-0.154232,-0.08293764,0.103673026,0.31701612,-0.18512727,0.7648692,0.47888306,-0.21913911,-0.5129916
-0.21576717,0.21602766,-0.2345086,0.18500325,-1.3511746,0.088954344,0.35059196,0.22231157,0.33273828,0.4009086,-1.2380754,-0.70379704
0.48203656,0.14694263,0.43022612,0.24346085,0.5082624,0.1448816,0.31952,0.12213676,0.09133561,-0.16540256,-0.45569736,-1.3188211
-0.3851004,-0.37062398,-0.107316464,0.061965,-0.34129173,-0.23263453,0.046858013,0.35038602,0.3733634,0.14629602,0.42823565,0.21112639
-0.2645442,-0.39706445,0.19630891,0.32858765,0.47452632,-0.20285372,0.8584511,0.6212627,0.39323738,0.94009405,0.46974972,0.6475953
0.5115766,0.042980812,0.51316726,0.23342362,0.5494396,0.050369874,0.27461842,0.012103241,0.38729036,0.16609606,0.03205351,0.8072507
0.24216093,0.49325743,0.10527988,0.83959305,0.18978414,0.61436456,0.14470308,-0.1275722,-0.14078222,0.23091702,0.08955479,0.016418342
-0.44171798,-0.32382092,-0.43393287,-0.41264492,-0.840493,-0.19654647,-0.38291627,-0.29526395,0.18418688,-0.07320805,0.08729996,0.6625599
0.7171261,-0.2990037,-0.33736804,0.15290987,0.7171261,-0.2990037,0.7171261,-0.2990037,-0.33736804,0.15290987,0.12342772,-0.0452634
0.07003016,0.25579444,0.40385866,0.7067981,0.3688751,0.79760534,0.2723389,0.3495435,0.51616985,-0.7184989,-0.45592368,0.40566868
-0.07800029,0.17101495,0.2464244,-0.32970506,0.2464244,-0.32970506,-0.07800029,0.17101495,0.43631938,-0.061336968,0.34895048,-0.21684988
-0.19568346,-0.26889387,-0.49414265,0.018638935,-0.19568346,-0.26889387,-0.49414265,0.018638935,-0.18599889,-0.25727594,0.07694958,-0.15613295
