Source,Target,PValue
Plxdc2,Muc1,0.0
Plxdc2,Aebp1,0.0
Plxdc2,Tbx2,0.0
She,Hlx,0.0
She,Ets1,0.0
Sox17,1810011O10Rik,0.0
Sox17,Abi3bp,0.0
Sox17,C1qtnf2,0.0
Sox17,Crispld2,0.0
Sox17,Figf,0.0
Sox17,Gng11,0.0
Sox17,Igfbp5,0.0
Sox17,Irx3,0.0
Sox17,Itga1,0.0
Sox17,Itga8,0.0
Sox17,Lmcd1,0.0
Sox17,Lum,0.0
Sox17,Mfap4,0.0
Sox17,Mfap5,0.0
Sox17,Mgp,0.0
Sox17,Ogn,0.0
Sox17,Pdgfrb,0.0
Sox17,Serpinb9,0.0
Sox17,Serping1,0.0
Sox17,Slc9a3r2,0.0
Sox17,Klf2,0.0
Tmem173,Elf1,0.0
Myc,Mob3a,0.0
Eri1,Zfx,0.0
Sox9,Nme5,0.0
Sox9,Bcl2l14,0.0
Sox9,Galnt4,0.0
Sox9,Slc35c1,0.0
Elf1,Akap13,0.0
Lbr,Csda,0.0
Rbl1,Zbtb1,0.0
Rbl1,Grlf1,0.0
Stk17b,Irf1,0.0
Wdr12,Lhx9,0.0
Trim16,Hes1,0.0
Efnb2,Irf1,0.0
Stat3,Bub1,0.0
Stat3,Znhit3,0.0
Cenpw,Smarcc1,0.0
Coil,Zfp184,0.0
Cops4,Mcm8,0.0
Glrx3,Zfp36,0.0
Gtf2e2,Zfp184,0.0
Gtf3c4,Gtf2e1,0.0
Hmgb2,Aox1,0.0
Hmgb2,Zbed4,0.0
Mcm8,Strap,0.0
Mcm8,Usp1,0.0
Mcm8,Tfdp1,0.0
Mtbp,Topors,0.0
Pcna,Gabpb1,0.0
Pcna,Hmmr,0.0
Pcna,Sgol2,0.0
Pitrm1,Xrcc5,0.0
Ppp1r8,Wdr82,0.0
Psip1,Ilf2,0.0
Serbp1,Rfc1,0.0
Taf9,Rrs1,0.0
Rora,C2cd2,0.0
Zbtb20,Tmem106b,0.0
Klf9,Rrm2,0.0
Klf9,Pdk4,0.0
Asf1b,E2f1,0.0
Aspm,Pa2g4,0.0
Ccnf,Tfdp1,0.0
Cenpn,Foxm1,0.0
Chek2,E2f2,0.0
E2f8,Serpinb9,0.0
E2f8,Nop58,0.0
Eif3d,Tcf3,0.0
Fam54a,Tfdp1,0.0
Fancd2,Tfdp1,0.0
Fanci,Tfdp1,0.0
Hmmr,Tfdp1,0.0
Lmnb2,Top2a,0.0
Set,Tcf3,0.0
Sgol2,Tfdp1,0.0
Spag5,Tfdp1,0.0
Stil,Psmc3ip,0.0
Suv39h1,Cdkn2a,0.0
Tmpo,Tcta,0.0
Tmpo,Slc10a7,0.0
Tmpo,Zbed4,0.0
Top2a,Serping1,0.0
Gata4,Nfe2l1,0.0
Gata4,Gpr137b,0.0
Gata4,Sfxn1,0.0
Gata3,Sec14l3,0.0
Actc1,Irx3,0.0
Adcy7,Stat1,0.0
Adcy7,Klf2,0.0
Akna,Nckap1,0.0
Akna,Baz1a,0.0
Aldh3a1,Foxj1,0.0
Eno4,Ankrd1,0.0
Foxj1,Irx3,0.0
Foxj1,BC028528,0.0
Foxj1,Cox4i2,0.0
Foxj1,Figf,0.0
Foxj1,Olr1,0.0
Foxj1,Slc9a3r2,0.0
Gpr126,Tbx2,0.0
Irx3,Cox4i2,0.0
Kcnj15,Tbx1,0.0
Kcnj15,Mxd4,0.0
Kcnk2,Tbx1,0.0
Nkd1,Snai1,0.0
Prx,Tbx1,0.0
Nfe2l1,Mrpl15,0.0
Isg20,Maf,0.0
Slc36a4,Zfp161,0.0
Maf,Ica1,0.0
Maf,Poglut1,0.0
Maf,Rnf130,0.0
Maf,Capsl,0.0
Maf,Mogat2,0.0
