Source,Target,PValue
1810006K21Rik,Six2,0.0
2410003L11Rik,Six2,0.0
Aloxe3,Six2,0.0
Dyrk1b,Six2,0.0
Elf1,Cnot6l,0.0
Cdk12,Tbl1xr1,0.0
Med13,Tbl1xr1,0.0
Pms2,Ighmbp2,0.0
Med6,Zfp560,0.0
Med6,Zfp81,0.0
Fubp3,Zfp865,0.0
Fubp3,Nacc1,0.0
Fubp3,Akirin1,0.0
Fubp3,Armc10,0.0
Fubp3,Zfp560,0.0
Fubp3,Zfp81,0.0
Gtf2e2,Efcab7,0.0
Nkap,Zfp81,0.0
Ppp1r8,Smn1,0.0
Sf3a3,Naca,0.0
Snrpd1,Naca,0.0
Snrpg,Naca,0.0
Taf11,Armc10,0.0
Tceanc,2310008H04Rik,0.0
Tceanc,Armc10,0.0
Tceanc,Btbd10,0.0
Tceanc,Ccdc112,0.0
Tceanc,Cenpj,0.0
Tceanc,Cep290,0.0
Tceanc,Fundc2,0.0
Tceanc,Fzd3,0.0
Tceanc,Lrig2,0.0
Tceanc,Prkdc,0.0
Tceanc,Tdp2,0.0
Tceanc,Tmem68,0.0
Tceanc,Zfp292,0.0
Tceanc,Zfp788,0.0
Zfp560,Rnf10,0.0
Zfp560,Trim33,0.0
Zfp560,Zfp329,0.0
Zfp81,Zzz3,0.0
Zfp81,Zfp280c,0.0
Zfp81,Thoc1,0.0
Set,Naca,0.0
Set,Rpl35,0.0
Set,Sox4,0.0
Top2a,Apoe,0.0
Zfp821,Armc10,0.0
Zfp821,Btbd10,0.0
Zfp821,Ccdc112,0.0
Zfp821,Fzd3,0.0
Lactb2,Rfx4,0.0
Armc10,Zfp82,0.0
Armc10,Zbtb1,0.0
Armc10,Zzz3,0.0
Armc10,Nfx1,0.0
Armc10,Zfp161,0.0
Armc10,Zfp553,0.0
Armc10,Zfp775,0.0
Armc10,Trim33,0.0
Armc10,Zfp329,0.0
Armc10,Atf1,0.0
Armc10,Prkdc,0.0
Armc10,Lass5,0.0
Armc10,Ctcf,0.0
Armc10,Trp53bp1,0.0
Armc10,Zfp292,0.0
Armc10,Smad2,0.0
Armc10,Sfpq,0.0
Armc10,Taf1,0.0
Btbd10,Zfp37,0.0
Btbd10,Zfp90,0.0
Btbd10,Zfp82,0.0
Btbd10,Mynn,0.0
Ccdc112,Glis3,0.0
Ccdc112,Zfp82,0.0
Ccdc112,Bcor,0.0
Ccdc112,Rfx3,0.0
Ccdc112,Ift57,0.0
Ccdc112,Etv1,0.0
Fzd3,Zfp37,0.0
Fzd3,Bhlhe40,0.0
Fzd3,Sall2,0.0
Fzd3,Smarca1,0.0
Fzd3,Ift57,0.0
Fzd3,Etv1,0.0
Kdm5a,Ankfy1,0.0
Rest,Pax6,0.0
Rest,Tmem59l,0.0
Gldc,Rfx4,0.0
Apoc1,Trp73,0.0
Hamp,Trp73,0.0
Gpam,Trp73,0.0
Gsta3,Trp73,0.0
Dpys,Rfx4,0.0
Tmem205,Trp73,0.0
