GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11
Adar,0.07606801,0.0017530955,0.11195027,-0.1739454,-0.47875893,-0.20720018,0.11219395,-0.16982467,0.5096909,0.92822385,0.586933,0.64059246
Aebp1,-0.48948437,-0.89027536,-0.39633432,-0.6953468,-0.5149092,-0.836003,0.0114829,0.8215822,-0.40278143,-0.6180353,-0.05580826,-0.44276923
Aebp2,-0.30857688,-0.5246419,0.58351177,0.52241606,0.58351177,0.52241606,0.6776825,0.26380992,0.6182922,0.70971406,-0.21937028,0.20822993
Akna,-0.44276384,-0.50769806,-0.5620552,-0.94143474,-0.79224896,-0.83083487,-0.3182339,-0.61623585,0.18916549,0.3678708,0.47712725,0.92477024
Ankrd1,0.2097933,-0.061829418,-0.5020637,-0.7620283,-0.036161892,-0.27781677,0.35812664,-0.6231792,-1.4994001,0.61109257,-0.4477862,-1.2845426
Apex1,-0.094934404,0.8379957,-0.08465995,0.6800417,-0.015080476,0.69545716,-0.061574765,-0.024597466,0.7630891,-0.50043166,-0.9935182,-0.0040594004
App,-0.5146127,-0.25505,-0.5146127,-0.25505,-0.5146127,-0.25505,-0.5146127,-0.25505,-0.5146127,-0.25505,0.43488282,0.23932539
Arid1a,0.1500667,0.31745452,0.14414231,0.289725,0.21628028,0.3406623,0.3827833,0.64892703,0.05851073,0.26227373,0.33746585,-0.15643184
Arid5a,-0.3116025,-0.48495775,-0.17391671,-0.5391413,-0.3924505,-0.6736459,-0.15055823,0.12161646,-0.13934362,-0.057236865,0.6132257,0.8061092
Arid5b,-0.35801405,0.14765052,-0.35801405,0.14765052,-0.35801405,0.14765052,0.594866,-0.40525866,0.13972598,-0.044877186,0.13972598,-0.044877186
Arnt,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,-0.3508559,0.07972501
Arrb1,-0.22138895,0.4657706,-0.023468388,-0.15571465,-0.19837135,-0.5255531,-0.044330344,-0.18735798,-0.030668864,-0.08117339,-0.26690313,0.23777674
Atf1,0.20133653,0.027788065,0.20453176,0.3157441,0.6559031,0.70691204,0.4438663,-0.0027673393,0.6396279,0.4783405,0.09742012,0.028792124
Atf3,-0.29502553,-0.56188977,0.55240446,0.4257816,-0.4951806,-0.31628853,-0.37766406,-0.52473366,0.36726618,0.79149675,-0.14339852,-0.10966396
Atf4,0.3660956,-0.23219751,0.3660956,-0.23219751,0.3660956,-0.23219751,-0.69997627,0.30522555,-0.69997627,0.30522555,-0.69997627,0.30522555
Atf5,-0.48370618,0.041473873,-0.45694265,0.100809515,-1.4652056,0.012705728,0.7129996,-0.17478833,0.028741555,0.4708988,-0.5961401,-1.0018469
Atf6b,0.75790966,0.43097705,0.95965284,0.17350993,0.9172348,0.21891366,0.8316254,0.5994929,-0.3007868,-0.3752836,-0.030147223,-0.27030683
Atoh8,-0.16608864,0.3261786,-0.11762244,0.30119723,0.43866348,0.15551934,-0.118908845,0.61740714,-0.18999523,0.11742012,0.0868775,0.02118218
Atxn1l,0.13972598,-0.044877186,0.13972598,-0.044877186,-0.35801405,0.14765052,0.13972598,-0.044877186,0.13972598,-0.044877186,-0.3508559,0.07972501
Bach1,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,-0.3508559,0.07972501,-0.3508559,0.07972501,-0.09227329,0.18355499
Bahd1,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,-0.3508559,0.07972501
Basp1,0.2107077,0.5239623,0.15062469,0.3820194,0.44672135,0.3933736,-0.7154075,0.39449048,-0.0046571735,0.20231925,-0.913328,-0.67098945
Batf,-0.31470487,-0.63282335,-0.44437492,-0.57464254,-0.5823507,-0.49677914,-0.037363537,-0.252599,0.029937657,0.033346996,0.75894785,1.0197539
Batf3,-0.029968088,0.09634358,0.295279,-0.38714308,0.295279,-0.38714308,0.02942366,0.0076202005,0.02942366,0.0076202005,-0.35801405,0.14765052
Baz2a,0.059145503,-0.028302312,0.15136296,-0.09444827,0.059145503,-0.028302312,-0.29254234,-0.023895353,0.5794605,0.2714064,0.36343366,0.68635607
Bcl3,0.45945433,-0.010274336,0.34936407,-0.3688587,-0.26074407,0.118999764,0.39785796,-0.10370192,0.8064159,0.6275028,-0.19173414,0.85833704
Bcl6b,-0.39454812,-0.069164604,-0.7430944,-0.19587572,0.43435666,-0.63093454,-0.10013413,0.10031401,-0.589309,0.4480121,-0.69734514,0.28028882
Bclaf1,-0.12307861,0.6721416,-0.05532346,0.5824412,0.3958522,0.6069083,-0.07635313,0.66755366,-0.15854438,-0.0714511,0.4678849,0.8070856
Bhlhe40,0.25787693,-0.31862396,0.25787693,-0.31862396,-0.09227329,0.18355499,0.42985147,-0.01861734,0.42985147,-0.01861734,-0.09227329,0.18355499
Bmi1,0.35814184,-0.001635991,0.34079707,-0.1620283,0.26148883,-0.08681409,0.31305924,-0.5236443,0.5855582,-0.70402884,0.27687576,-0.28634608
Brd4,0.31554747,0.10528431,0.46720797,0.20919284,0.37491336,0.120828025,-0.11280999,0.051398143,0.5748628,0.2531804,0.29772934,0.8004893
C1d,-0.21264108,0.3002795,-0.21264108,0.3002795,-0.21264108,0.3002795,-0.25176424,0.052668057,0.24848452,-0.4604417,0.053759016,0.4435491
Calcoco1,0.3600009,-0.35656285,0.3660956,-0.23219751,0.3660956,-0.23219751,0.3660956,-0.23219751,-1.160329,-0.10389973,0.42985147,-0.01861734
Camta1,-0.3508559,0.07972501,-0.3508559,0.07972501,-0.3508559,0.07972501,0.25787693,-0.31862396,-0.3508559,0.07972501,0.594866,-0.40525866
Camta2,0.59344286,0.2329536,0.59344286,0.2329536,0.6671774,0.28209245,0.15065926,0.2605428,0.13389705,-0.15417388,-0.22924916,0.07726725
Carhsp1,0.25787693,-0.31862396,0.25787693,-0.31862396,0.25787693,-0.31862396,0.42985147,-0.01861734,-1.160329,-0.10389973,0.3660956,-0.23219751
Carm1,-1.6165259,0.04107922,-0.4311018,-0.38110107,-0.4311018,-0.38110107,0.48464698,-0.28742868,-0.41991735,-1.2368877,-0.31891918,-0.6045026
Cbfb,-0.22965437,0.00285713,0.021692788,0.26353616,0.5251356,0.33242953,0.18068916,-0.03160265,0.81765145,-0.18199094,-0.7685141,0.13417323
Cc2d1a,0.29363397,0.34900182,0.36536753,-0.10675947,0.25965598,0.5289898,2.6365742e-05,-0.24845071,0.3420197,0.35352486,0.060582586,0.20161714
Cc2d1b,0.13972598,-0.044877186,0.13972598,-0.044877186,-0.35801405,0.14765052,-0.35801405,0.14765052,0.13972598,-0.044877186,-0.3508559,0.07972501
Cdc5l,0.034118913,0.7953973,0.11159355,0.70411026,0.59586483,0.7552208,-0.3977974,0.5162075,-0.13520648,-0.008870572,-0.0468461,0.79946506
Cdk9,-0.25296664,0.019841507,0.35725802,0.4560269,-0.29265535,0.31167567,-0.16310282,-0.10075496,0.7512941,-0.3591237,-0.34821638,-0.18469338
Cebpa,0.19218135,-0.0033949614,0.2204347,-0.15538639,-0.10727274,0.08992401,0.26779857,-0.20892398,0.7540049,0.4860025,-0.20853135,-0.47033548
Cebpb,-0.22171442,0.19993694,-0.23955914,0.16605797,-1.3717638,0.08959162,0.33570677,0.22804686,0.3199364,0.41163164,-1.2397225,-0.66374063
Cenpb,0.47681224,0.15924959,0.42129788,0.23872267,0.49893665,0.15352577,0.29770356,0.113524035,0.08733561,-0.17124408,-0.5059032,-1.368028
Cggbp1,-0.38322377,-0.35633016,-0.11462694,0.07032885,-0.3430496,-0.22505651,0.05343657,0.368796,0.3796413,0.12787774,0.4225145,0.2279023
Chd1,-0.26575664,-0.3755375,0.19546847,0.31498837,0.48594144,-0.17280145,0.8798974,0.66867894,0.38258964,0.9360579,0.4532487,0.65165937
Chd4,0.5179107,0.04980008,0.5151729,0.26697236,0.55546427,0.059960704,0.27494958,-0.012408033,0.38030005,0.17249402,0.04179143,0.8365607
Cic,0.24836026,0.5353478,0.09732386,0.8224863,0.19338611,0.64414424,0.14952049,-0.097606376,-0.12768523,0.24011698,0.084984966,0.02881679
Ciita,-0.44032294,-0.31848127,-0.43043768,-0.4124515,-0.8419205,-0.19006628,-0.38063535,-0.2835492,0.20722908,-0.00808914,0.08101743,0.6733897
Clock,0.71704763,-0.2765751,-0.35801405,0.14765052,0.71704763,-0.2765751,0.71704763,-0.2765751,-0.35801405,0.14765052,0.13972598,-0.044877186
Cnbp,0.059525773,0.24047177,0.4052781,0.73335874,0.36790058,0.82148415,0.27123183,0.37143642,0.5263668,-0.72442216,-0.47063145,0.39846897
Creb3,-0.09227329,0.18355499,0.25787693,-0.31862396,0.25787693,-0.31862396,-0.09227329,0.18355499,0.42985147,-0.01861734,0.3660956,-0.23219751
Creb3l1,-0.18017973,-0.3038218,-0.4936927,-0.028990246,-0.18017973,-0.3038218,-0.4936927,-0.028990246,-0.1523061,-0.2760899,0.082331955,-0.16077432
Creb3l2,0.13972598,-0.044877186,0.594866,-0.40525866,0.13972598,-0.044877186,0.13972598,-0.044877186,0.594866,-0.40525866,0.25787693,-0.31862396
Crebzf,-0.21601044,0.10042048,-0.09252416,0.50899297,0.032637484,0.43471754,0.1335275,0.50379324,0.123570755,-0.053839356,0.4987691,0.54454744
Cry1,0.13972598,-0.044877186,-0.35801405,0.14765052,0.594866,-0.40525866,-0.3508559,0.07972501,0.594866,-0.40525866,-0.35801405,0.14765052
Cry2,-0.3508559,0.07972501,0.594866,-0.40525866,-0.3508559,0.07972501,-0.3508559,0.07972501,0.594866,-0.40525866,0.71704763,-0.2765751
Csdc2,0.25787693,-0.31862396,-0.09227329,0.18355499,-0.09227329,0.18355499,-0.09227329,0.18355499,-0.3508559,0.07972501,0.594866,-0.40525866
Csde1,0.3660956,-0.23219751,0.3660956,-0.23219751,0.3660956,-0.23219751,0.3660956,-0.23219751,0.3660956,-0.23219751,0.3660956,-0.23219751
Csrnp1,-0.33372834,-0.35415667,0.6749955,-0.2147245,-0.07503253,-0.64614576,-0.3692335,0.39216548,-0.26657006,-0.16490845,0.66644746,0.25813967
Ctcf,-0.20459965,0.24698658,0.12300143,0.60243464,0.51990616,0.34787917,-0.26195917,-0.3276415,0.07087451,-0.54371446,0.2901497,0.99484473
Ctnnb1,0.3704071,0.3869292,0.30279863,0.2417816,0.50139046,0.58086723,0.40613928,0.61077565,0.14781131,0.30218995,0.2572398,-0.25015074
Cxxc1,0.6271694,0.14248356,0.7958503,0.08822298,0.72282916,0.050560817,0.61149824,0.40390635,-0.60443306,-0.38242435,-0.56277543,-0.5043744
Dbp,0.22144699,0.13434887,0.06479869,-0.39745063,-0.67601293,0.28313768,0.32688758,-0.23402722,-0.03369827,0.16097286,0.20632754,0.5149548
Ddx1,0.14331788,1.1964933,0.21865696,0.9291963,0.062132314,0.64392984,0.07390353,0.040924773,0.14009233,0.072313264,0.4014288,0.22463854
Ddx41,-0.26221982,-0.061746843,-0.26221982,-0.061746843,-0.26221982,-0.061746843,0.01923122,-0.46493578,-0.041776784,0.4687506,-0.10446466,0.20890209
Ddx58,0.07470824,-0.014248379,-0.03524123,-0.5327887,-0.8251336,-0.26899683,0.09493141,-0.23196255,0.7453432,1.0867227,0.72272855,0.88024056
Deaf1,-0.1000081,-0.2664212,0.60865194,0.2397275,-0.07908372,-0.04685966,-0.074954174,-0.0031775236,-0.15982445,-0.18217611,-0.21286124,-0.103461325
Dnajb6,0.67118365,0.5319941,0.67118365,0.5319941,0.67118365,0.5319941,0.67118365,0.5319941,-0.13731799,-1.0164552,-0.3971223,0.40024364
Dnajc2,0.11107065,0.33968073,0.013331395,-0.11873454,-0.0068398677,0.18944496,0.09813146,0.3119799,0.57635003,0.20610346,0.23325422,0.46181512
Dnmt1,-0.403962,0.69812286,-0.6987873,0.88923496,-0.34977528,0.6603512,-0.708582,0.30212474,-0.14310865,-0.85571057,-1.045904,0.39719623
Dnmt3a,-0.18598306,0.24948452,0.01352749,0.18536107,0.79425746,0.019587122,-0.35895902,-0.21745934,0.9501284,0.14786962,0.09234242,0.6213677
Dr1,-0.3508559,0.07972501,-0.3508559,0.07972501,-0.3508559,0.07972501,-0.3508559,0.07972501,0.25787693,-0.31862396,-0.09227329,0.18355499
Drap1,0.35501954,0.40497988,0.4037984,0.3738516,0.33655706,0.371459,0.46409702,0.6204531,0.064675905,0.08144635,0.80219626,-1.9322454
E2f1,-0.21543604,0.281891,-0.20999545,0.30808038,-0.1690161,0.2603221,-0.25459188,0.11627367,-0.62891465,-0.6170043,-0.3171296,-0.17804983
E2f2,-0.3958404,-0.120347545,-0.38323542,-0.05105421,-0.22601415,-0.07021874,-0.30249518,0.0056020617,-0.19640344,-0.14514987,-0.27026692,-0.036662668
E2f3,-0.36916646,0.079732195,-0.5075055,0.6901169,-0.54912597,0.5241312,-0.6428171,0.37161422,-0.8399261,-0.14680776,-0.47979707,-0.11261317
E2f4,0.28572598,0.29462594,0.2609128,0.19676034,0.41450047,0.61549413,0.59834677,0.4846313,0.0014529806,-0.20595922,0.4475973,0.1905068
E2f5,-0.35801405,0.14765052,-0.35801405,0.14765052,0.71704763,-0.2765751,-0.35801405,0.14765052,-0.35801405,0.14765052,0.594866,-0.40525866
E2f6,-0.09227329,0.18355499,-0.09227329,0.18355499,-0.09227329,0.18355499,0.25787693,-0.31862396,0.25787693,-0.31862396,0.25787693,-0.31862396
Edf1,-0.45154098,-0.166398,-0.30879995,0.3576203,0.18986386,0.6052333,-0.037761323,-0.27087468,1.0406625,-0.6805642,-0.5803413,-0.0062180646
Egr1,-0.6261175,-0.28648067,0.8284996,0.3144343,-0.34206948,-0.38143468,-0.2799303,0.6202146,0.38670224,-0.044145316,0.039825417,-0.055093363
Egr2,-0.74126095,0.0028335787,0.8105428,0.03338654,-0.1687906,-0.2971515,-0.25690046,0.88333106,0.23918894,-0.12652421,0.52475995,-0.021060474
Egr3,-0.6594205,0.1516225,0.5739107,0.058948874,0.004002886,-0.20010428,-0.06630318,1.011854,-0.07182321,-0.6778761,0.22053744,-0.10547975
Elf1,-0.4256345,-0.53066003,-0.40344927,-0.7555313,-0.87674373,-0.46573478,-0.32780966,-0.4473858,0.42321414,1.0081553,0.8569014,0.9594715
Elf4,0.27689314,0.07438704,0.25919896,0.06895605,0.26786143,0.3994606,0.48839104,0.42822146,0.3701457,0.63950944,0.030163279,0.1276182
Elk3,-0.42966923,-0.32372636,-0.6131017,-0.39303702,0.094555825,-0.8882283,-0.028811542,-0.17229597,-0.10568927,0.24618807,-0.4740066,0.3739683
Epas1,-0.321792,0.016143877,-0.9542413,-0.20113753,-0.036719054,-0.20559333,-0.112871386,0.47295457,-0.49458456,0.46697122,-0.4214086,0.60922974
Ercc3,0.9438414,-0.06494679,0.9438414,-0.06494679,0.9438414,-0.06494679,0.9438414,-0.06494679,-0.20998405,-0.4733752,-0.84419614,0.7751541
Erf,-0.17040691,-0.37549818,0.17632456,0.09557491,-0.09750094,0.082034215,0.60746336,0.1853426,0.06592099,0.06434551,-0.80182314,0.081023395
Erg,0.0353825,0.086793765,-0.48697126,0.19107498,-0.14858077,-0.09018776,0.0040183067,0.19446026,0.06717285,0.016472526,-0.08568325,0.069425575
Esrra,-0.14463742,0.018108644,-0.13705319,-0.026655897,-0.23713821,0.1430091,-0.18357241,-0.79420173,0.34830025,-0.055516563,0.7545615,-1.1577845
Esrrb,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,0.13972598,-0.044877186,0.71704763,-0.2765751
Esrrg,-0.40987852,-0.4069106,1.2814198,0.6897558,-0.27723598,-0.18039598,-0.5363734,-0.46115816,-0.31318322,-0.14762941,-0.5910134,-0.5609155
Ets1,-0.2235306,-0.35638672,-0.22978711,-0.13571808,-0.0034655053,-0.44119388,0.17313248,0.0028707236,0.27133358,0.23167728,0.2618939,0.4585092
Ets2,-0.09107463,0.10110177,-0.0073550064,0.5986647,0.0020084623,-0.6423743,-0.07575739,-0.53751856,-0.03387551,0.7521495,-0.1750898,1.1644647
Etv3,-0.14306964,-0.12170011,-0.16614181,-0.4166122,-0.8050842,-0.059059575,-0.3412485,-0.43479353,0.5269818,0.99893785,0.7684688,0.44650525
Etv4,-0.029968088,0.09634358,-0.029968088,0.09634358,-0.029968088,0.09634358,-0.029968088,0.09634358,0.02942366,0.0076202005,-0.35801405,0.14765052
Etv5,0.382425,-0.13297799,-0.09577681,0.09313405,0.043721233,-0.31175202,0.51490796,-0.055531144,0.47987437,0.3255763,-0.041062765,0.17729282
Etv6,-0.35801405,0.14765052,-0.35801405,0.14765052,-0.35801405,0.14765052,0.594866,-0.40525866,0.594866,-0.40525866,-0.3508559,0.07972501
Ezh2,-0.3375588,1.0467772,-0.6791117,1.3478562,-0.26140612,1.0432945,-1.003789,0.6339444,-0.74082553,-0.4752171,-0.5273705,0.71321917
Fli1,-0.50862694,-0.84445006,-0.63535625,-1.0250754,-0.36742815,-0.9636209,-0.0073580835,-0.5090159,0.09560062,0.6902958,0.32302225,0.7459201
Fos,-0.47100112,-0.6331164,0.7819581,0.46163273,-0.51389426,-0.34681302,-0.47745246,-0.2978589,0.4928664,0.7473526,-0.34948012,-0.024289325
Fosb,-0.6454825,-0.44036263,0.8639192,0.3566286,-0.45345563,-0.39612114,-0.37151045,0.34954792,0.34810585,0.2016949,0.027641287,-0.1488868
Fosl1,-0.35801405,0.14765052,0.71704763,-0.2765751,0.71704763,-0.2765751,0.25787693,-0.31862396,0.25787693,-0.31862396,-0.35801405,0.14765052
Fosl2,-0.5652638,0.24670684,-0.16603962,0.3530504,0.40054572,-0.16688983,-0.15039735,-1.0025207,0.09770084,0.45069808,-0.018586742,0.8715211
Foxc2,-0.21956843,-0.37698245,-0.19435436,-0.38863462,-0.31712228,-0.41703147,-0.26900005,-0.38894933,-0.3086481,-0.60598886,0.0465348,0.28799665
Foxk2,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,-0.3508559,0.07972501,-0.3508559,0.07972501
Foxm1,-0.2992309,0.42977935,-0.3793834,0.56339765,-0.28507298,0.43044412,-0.5253699,0.27094275,-0.5954893,-0.1181626,-0.20657907,0.41073865
Foxn2,-0.40048766,-0.90031326,0.5130051,0.44378048,0.5130051,0.44378048,0.5287487,0.28923047,0.34019274,0.9135002,-0.2964958,-0.07641922
Foxo4,0.07120983,-0.024195664,-0.019979736,0.12742123,-0.16203576,0.078292646,0.15440956,-0.35746998,0.015283262,0.6239494,0.24232739,-0.05045478
Foxp1,-0.22027075,-0.4502983,-0.12337955,-0.49255562,-0.1654501,-0.4522593,-0.19092315,-0.43486965,0.17684022,0.30396807,0.16933292,0.3257541
Foxp4,-0.2666701,0.18927643,-0.19805111,0.3334391,-0.20563188,0.11969608,-0.029873231,0.15027016,-0.0040603112,0.24904223,0.3066002,-0.05435382
Foxs1,0.71704763,-0.2765751,-0.35801405,0.14765052,0.71704763,-0.2765751,-0.35801405,0.14765052,-0.35801405,0.14765052,0.25787693,-0.31862396
Fubp1,-0.100753255,0.2725753,0.16621482,0.6671885,0.40189576,0.47025985,-0.087320015,0.476045,0.045962565,-0.3116449,0.5495841,0.86046696
Fubp3,0.17731923,0.39569455,0.034765914,0.5653017,0.033550583,0.5544863,0.16174877,0.005068537,0.14884794,0.17192222,0.65513176,0.6025982
Gabpa,0.15771456,0.40134507,0.13363512,0.47068948,0.23989303,0.49421424,0.6675677,0.5586003,0.22177897,0.19781727,0.16843672,0.51557577
Gata2,0.3906796,-0.56294096,-0.8544738,-0.37065667,-0.0727181,-0.9016024,-0.17693162,0.35136616,-0.9026341,0.71251243,-0.6921803,0.28315324
Gata4,-0.036379687,-0.456331,0.20360956,-0.26143843,0.48455083,-0.016241036,-0.45022106,0.622409,0.18397838,0.05578628,0.27479193,-0.92283213
Gata6,0.5056983,-0.30862826,0.21922046,-0.14044054,0.32921576,0.3419385,-0.015988449,0.32844502,0.024042366,0.668912,0.16027755,-0.29796457
Gatad1,-0.09227329,0.18355499,-0.09227329,0.18355499,-0.09227329,0.18355499,-0.09227329,0.18355499,-0.09227329,0.18355499,0.42985147,-0.01861734
Glis2,0.74547356,0.040260546,0.2674351,0.17045127,0.28594127,-0.84944856,0.4259435,-0.22815923,-0.13696326,0.34986407,0.50827175,0.075444736
Gpbp1,0.10879084,0.6466745,-0.01810179,0.56114274,0.28705928,0.4819197,0.20926003,0.64879674,-0.047181785,-0.123359606,0.52972263,0.30074984
Gtf2a1,-0.33555132,0.11568206,-0.38123327,0.12007082,-0.33555132,0.11568206,0.42980158,1.091636,0.118733354,-0.04258,0.66689837,-0.099649146
Gtf2b,-0.13108042,0.21537109,-0.11895759,0.21202947,-0.09362174,0.11534079,-0.091105975,0.13626575,-0.06244587,-0.03258887,1.3587072,-2.0480926
Gtf2e2,0.45442355,1.0115799,0.1717414,0.5527049,0.39976448,0.8988093,0.30300397,-0.062210634,0.053220004,-0.2102833,0.18372874,0.21494837
Gtf2f1,0.7632877,0.13643903,0.7632877,0.13643903,0.80992144,0.16751717,0.7545299,0.0842022,-0.40944648,-1.3202528,-1.3102499,0.65174305
Gtf2f2,0.414358,0.9601026,0.4508315,1.0233499,0.78161126,1.0143785,0.578811,0.77144825,-0.19787298,-0.3192888,-0.16640113,0.3513958
Gtf2h5,0.49846444,-0.33862054,0.40809155,-0.36518526,0.5077627,-0.2831353,0.524837,-0.2076409,0.4395409,-0.35146964,0.2450156,-0.69942
Gtf2i,0.35853377,0.0066445395,0.38878748,-0.090501845,0.3615549,-0.06737161,0.16954526,0.14842856,-0.4727432,-0.0490655,-0.41494292,-0.0025912374
Hand2,0.30995074,0.75747836,-0.129494,-0.58403784,0.6509249,0.008909535,0.14742807,0.57090473,-1.3795104,0.30359134,0.060124345,-0.47198611
Hdac1,-0.39129412,0.1960237,-0.3786891,0.26531702,-0.22146784,0.2461525,-0.29794887,0.32197332,-0.29264352,-0.001494389,-0.46915933,0.29710743
Hdac2,0.5518779,0.60983443,0.62507075,1.1049669,0.499645,0.772218,0.15013152,-0.28627616,1.2433827,-0.53729224,-0.61499894,0.35982138
Hdac3,-0.09227329,0.18355499,-0.09227329,0.18355499,-0.09227329,0.18355499,-0.09227329,0.18355499,-0.09227329,0.18355499,-0.09227329,0.18355499
Hdgf,-1.6943358,0.21688528,-0.6847514,0.09338747,-0.6445058,0.048280522,0.4420132,-0.008657485,-0.545171,-0.9160424,-0.34468284,-0.54001063
Hells,-0.34068906,1.2061213,-0.6359198,1.4040377,-0.26342365,1.1803898,-0.9684154,0.7385324,-0.56102526,-0.33987695,-0.2911603,0.951684
Hes1,-0.11878533,-0.46724892,-0.0052502584,-0.4747476,0.05377505,-0.15112306,0.088882744,-0.27215725,0.23528591,-0.25855345,0.46308503,-0.05544006
Hes6,-0.09227329,0.18355499,-0.09227329,0.18355499,0.25787693,-0.31862396,-0.3508559,0.07972501,0.25787693,-0.31862396,-0.09227329,0.18355499
Heyl,0.35273686,-0.18173264,-0.7108893,-0.0291709,0.5288011,-0.82372826,0.15437472,0.0035126507,-0.6213816,0.7931868,-0.4831831,0.021897167
Hhex,-0.27295685,-0.4324739,-0.43665284,-0.31288284,-0.52908856,-0.19830348,-0.17482632,0.15783316,-0.15825887,0.28657848,-0.24640983,0.15010394
Hic1,0.008453136,-0.3731075,-0.2992611,-0.20724939,-0.37708986,-0.5628087,-0.278877,-0.16999005,-0.109790124,-0.92996264,0.09305198,-0.028162904
Hif1a,-0.3508559,0.07972501,0.25787693,-0.31862396,0.25787693,-0.31862396,0.42985147,-0.01861734,0.42985147,-0.01861734,-1.160329,-0.10389973
Hlf,-0.3508559,0.07972501,0.13972598,-0.044877186,-0.3508559,0.07972501,-0.35801405,0.14765052,-0.35801405,0.14765052,0.295279,-0.38714308
Hltf,-0.61788684,-0.031492442,0.056448884,0.2413498,-0.027426327,0.20073456,0.81664664,0.59006226,0.3581268,0.5717219,0.40823862,0.34874952
Hlx,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,0.594866,-0.40525866,0.25787693,-0.31862396
Hmg20b,0.543647,0.5602543,0.5177857,0.5310363,0.7292272,0.71531427,0.7427176,0.2697175,0.6020673,-0.28561395,0.3687752,-1.0515331
Hmgb1,-0.056011863,0.27616587,-0.058850683,0.31890422,0.16147378,0.25038242,-0.1454651,0.27202597,-0.36794668,-0.05784232,-0.627446,0.41637272
Hmgb2,-0.63365334,0.88364583,-0.8666215,1.0803896,-0.3830366,1.0491664,-0.9996069,0.7974137,-0.6103415,-0.17280763,-0.27259076,1.0748043
Hmgn3,0.49266446,-0.50139356,0.26634935,-0.17280202,0.17498894,0.15645918,0.88277704,-0.34067667,-0.06514272,-0.14530762,0.5436203,0.61637264
Hmgn5,0.25787693,-0.31862396,0.25787693,-0.31862396,0.25787693,-0.31862396,0.25787693,-0.31862396,0.25787693,-0.31862396,-0.09227329,0.18355499
Hnrnpab,-0.7412084,0.82672554,-0.7105571,0.89493644,0.3667776,0.84884465,-0.4002322,0.19456127,-0.74170554,-0.5881434,-0.033679828,0.82131016
Hnrnpd,-0.08368818,0.47500855,-0.08368818,0.47500855,-0.1509248,0.54012537,-0.10880447,-0.02151744,0.35393447,-0.26229846,0.15879393,0.40762943
Hnrnpk,-0.13091002,-0.34726894,0.07000911,0.8228519,0.0840141,0.6358981,0.17799947,-0.13145079,1.3010015,-0.79359204,-0.66621053,0.020904817
Hopx,0.47731215,-0.015496463,0.4062544,-0.40569693,0.78509015,-0.57345116,-0.47985116,0.82823944,-0.50798714,0.14846285,-0.49402028,0.010326937
Hsf1,0.42621884,0.29197657,0.5127566,0.12607972,0.5078071,0.11882072,0.5174362,0.52830106,-0.339099,-0.29020274,-0.0029918049,-0.4294266
Ifi204,0.02942366,0.0076202005,0.02942366,0.0076202005,0.02942366,0.0076202005,0.13972598,-0.044877186,0.594866,-0.40525866,0.42985147,-0.01861734
Ikzf1,-0.5873601,-0.95972323,-0.5643483,-1.0936289,-0.988972,-0.7347875,-0.3010358,-0.4827096,0.39824328,0.70048714,0.70188916,1.0974449
Ilf2,-0.20350195,0.7378142,-0.19431049,0.73811805,0.22917256,0.71507466,-0.11176308,0.5596134,-0.6037244,-0.20431654,-0.4557694,0.63958114
Ilf3,0.23001891,1.1617963,0.1552353,1.3364842,0.10842501,0.9930717,-0.17356415,0.081412256,0.58802325,-0.44527262,-0.614708,-0.0509969
Ing2,0.71704763,-0.2765751,0.71704763,-0.2765751,0.71704763,-0.2765751,-0.35801405,0.14765052,-0.35801405,0.14765052,0.13972598,-0.044877186
Irf1,-0.0016735252,-0.009048209,-0.14984627,-0.5485412,-0.9450676,-0.04409428,-0.33346194,-0.54843056,0.5115632,0.74571353,0.8501666,0.96965253
Irf3,0.25787693,-0.31862396,-0.3508559,0.07972501,-0.3508559,0.07972501,0.25787693,-0.31862396,0.25787693,-0.31862396,-0.09227329,0.18355499
Irf5,-0.58885664,-0.47225922,-0.84284747,-0.6365458,-1.4640268,-0.4108262,-0.30257612,0.11924054,0.37219694,0.17581466,-0.049303733,0.54315376
Irf7,0.2974543,-0.15143992,0.15864725,-0.63862485,-0.6096015,-0.10192077,0.20249626,-0.47483706,0.68274057,0.5529044,0.06228981,0.8765304
Irf8,-0.32136774,-0.2730474,-0.24719936,-0.6049175,-1.252061,-0.33161408,-0.23164314,-0.5792976,0.54136705,0.71498185,0.5577482,0.71535724
Irf9,-0.12398795,-0.28798932,-0.24433383,-0.8390061,-0.89733803,-0.3601488,-0.19553459,-0.59676063,0.6494417,1.1135533,0.75613946,1.0228394
