GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11
Cul4b,0.14575303,0.90853256,0.05495304,0.5270536,0.26974237,0.5611003,0.27003133,0.3502887,0.07240304,0.1447669,0.61249673,0.48501325
Cul7,-0.23297858,-0.44751978,0.19146372,0.2276798,0.11479262,-0.077544466,-0.26310924,-0.39857095,-0.38214558,0.20868246,0.260629,0.5183425
Cutc,0.17145595,-0.2242815,0.12175105,-0.6112623,0.17145595,-0.2242815,0.12175105,-0.6112623,0.310575,-0.60488874,-0.04608254,0.03400537
Cwc27,0.16097732,-0.45030665,0.16097732,-0.45030665,0.16097732,-0.45030665,-0.06167215,0.047463343,0.054346718,0.9289124,0.5896689,-0.119099304
Cx3cl1,0.16356741,-0.2998355,-0.23836929,-0.13133542,-0.120526455,-0.32613915,-0.035699554,-0.31359,-0.38522688,-0.10810073,-0.2126297,-0.10079479
Cxcl12,-0.3180804,-1.2643505,-0.39434558,-0.7785668,-0.38517773,-0.7011507,-0.08399825,0.1559751,-0.27002013,-0.6002702,0.34952363,-0.0031278804
Cxcl16,0.2168583,0.5492003,-0.20150675,-0.2324353,-0.63953054,0.2521571,-0.38637283,-0.4179731,0.21563584,0.73971945,0.44009405,0.2344347
Cxcl2,-0.40654838,-0.37402076,-0.092139475,0.056278706,-0.37732953,-0.37424392,-0.38958582,0.0756595,-0.3152071,0.9472539,-0.15303192,-0.5492921
Cxcr4,-0.029378818,-0.51084816,-0.56663316,-0.5970456,-0.3839522,-0.57384264,-0.02797799,-0.28314137,-0.14574784,0.4923734,0.17133461,0.6862809
Cxxc5,-0.36622712,0.25594467,-0.25854242,0.025440037,0.5924431,0.45333475,0.2707787,-0.77953357,0.23435369,0.17579024,0.27707097,0.09817915
Cyb561,-0.21689838,-0.47533208,0.15238112,0.2871803,-0.67688936,-0.53962326,-0.29613823,-0.70995724,0.7199687,0.06397256,-0.77713484,0.021784332
Cyb5b,0.059040755,0.045674756,0.059040755,0.045674756,0.37923557,0.30339724,-0.18812267,-0.2553612,0.34816396,0.04557596,0.03117386,0.14324662
Cyb5r3,-0.8333383,0.011015777,-0.5420537,0.081799835,-0.8967779,0.015261576,0.4176222,-0.30569488,0.18990275,0.11617106,-0.27414846,-0.28884876
Cyba,-0.3097361,-0.26572204,-0.23585433,-0.7527145,-0.4921639,-0.5358194,0.008964831,-0.54746264,0.205568,0.07902157,0.4452078,0.2981853
Cybb,-0.6131625,-0.47363788,-0.608102,-0.8352601,-0.7727113,-0.6041825,-0.30417013,-0.47818607,0.25811014,0.5075074,-0.10411963,0.7964448
Cyc1,0.4620378,-0.123909846,1.9572271,0.38562953,-0.37654102,-1.0218964,-0.82746726,-1.076133,-0.30217758,-1.0578421,0.33246106,-0.48478395
Cycs,-0.018437566,-0.13631584,1.1228235,0.40558124,-0.20728368,-0.3784849,-0.23148122,-0.5838888,0.067782514,-0.1527173,-0.60042626,-1.1687379
Cyfip2,-0.08903273,-0.9943787,-0.016410226,-0.2589336,0.2459217,-0.045475937,-0.07144429,0.029796291,0.15881921,0.17185204,0.9226256,0.3290959
Cygb,-0.3406674,-0.14583282,-0.77370936,-0.44762355,0.4075911,-0.6820109,-0.022891426,-0.045661777,-0.5676587,-0.081088886,-0.90248114,0.08420342
Cyhr1,0.5339019,0.11260477,0.5446235,0.17142215,0.5422661,0.065607876,0.7251202,-0.07774679,-0.12563628,0.15861368,0.04192189,-0.6621983
Cyp1b1,-0.35901353,-0.8142279,-0.21250284,-0.7055853,-0.52452147,-0.94496906,-0.16619919,0.12640536,-0.45709866,-0.8117713,0.020486072,0.18551148
Cyp27a1,-0.0017373804,-0.29818887,0.15539089,0.48105717,0.14390111,0.30917418,-0.6007865,-0.26211417,-0.10624815,0.4181022,-0.382637,0.320673
Cyp2d22,0.17913905,-0.048366457,0.17728461,0.09891896,0.1001567,0.21370967,-0.6657397,0.19728492,-0.19033879,0.2352301,-0.19881082,-0.07358958
Cyp4b1,-0.48901522,0.18439963,-0.7436002,-0.14592986,0.3277697,-0.14761697,-0.257707,-0.2306027,-0.37563094,0.38657653,-0.88789314,0.3052584
Cyp4f16,0.32608727,0.36541682,0.25933722,0.11582282,0.3281942,0.28779653,-0.09045722,-0.3167898,0.5962429,0.37007087,-0.08373763,0.1990293
Cyp4f18,-0.34684402,-0.44599277,-0.3246789,-0.46756512,-0.63438594,-0.387421,-0.5021719,-0.36672038,0.24642855,-0.07655497,-0.21898408,0.22500679
Cyp4v3,-0.085516475,0.06398708,-0.9898494,0.0061265454,0.03106605,0.059982866,-0.5576836,0.2099771,-1.224343,-0.32989877,-0.94525427,0.051200606
Cyp7b1,0.21600336,-0.017441824,-0.2728315,-0.6767473,-0.72130203,-0.11222233,-0.49501002,-0.29362202,0.2620147,-0.78686965,0.011761976,-0.2447141
Cyr61,-0.570484,-0.32419306,-0.1422784,0.062510274,0.16560042,-0.20931284,-0.19641753,0.5173755,-0.04482741,-0.27541345,0.43197292,-0.24029233
Cyth2,0.41105068,0.14446104,0.5118399,-0.04841891,0.4828462,-0.031733423,0.4324742,0.095234774,-0.661503,-0.90900755,-0.5234688,-0.21459334
Cyth3,0.2670106,-0.12495606,-0.18107814,-0.12642993,0.085457854,0.16905439,-0.1887402,0.15223144,-0.28824258,0.33080918,-0.14305367,0.054695472
Cyth4,-0.5149349,-0.7238053,-0.48547584,-1.1154852,-0.73094165,-0.96103024,-0.34153193,-0.26201785,0.21233805,0.61919177,0.071211025,0.9896108
Cytip,-0.3872912,-0.5710303,-0.47901586,-0.9386882,-0.9174092,-0.6650969,-0.49965674,-0.76272315,0.3054509,0.48584062,0.5667435,0.7192739
Cytl1,-0.06784568,-0.3897366,-0.8066912,-0.5617744,0.6194325,-1.1148381,-0.07489906,0.35610527,-0.84209925,0.53646094,-1.1820863,0.44531828
Cyyr1,0.035007954,-0.13902551,-1.307852,-0.22719322,-0.25147748,-0.6824028,-0.3558538,0.7641545,-0.7328299,0.7856234,-0.7335269,0.9572911
D030056L22Rik,0.38076833,0.62394357,0.7232579,0.63914335,0.7875765,0.9469748,-0.23049751,0.3214357,0.6424611,0.5509348,-0.4218554,-0.39891773
