TF,PValue,Label
Snai2,12.6667,1
Lhx1,54.8333,1
Gli3,85.3333,1
Tcf7l1,141.0,1
Yap1,161.1667,1
Cdkn2a,194.0,1
Nfatc1,225.3333,1
Arid4b,266.6667,1
Tet1,286.1667,1
Sall4,297.0,1
Klf4,635.3333,1
Nr5a2,713.5,1
Esrrb,735.5,1
Jdp2,758.3333,1
Glis1,1014.3333,1
Myc,1066.8333,1
Blm,199.6667,0
Ddx20,213.6667,0
Rfc1,223.8333,0
Pcna,248.3333,0
Tead2,293.6667,0
Phf5a,349.8333,0
Dnmt1,398.1667,0
Rps3,470.1667,0
Pnn,563.6667,0
Tead1,589.6667,0
Ercc2,629.5,0
Sphk1,655.1667,0
Thoc1,719.1667,0
Dnmt3b,719.5,0
Gtf2h5,852.5,0
Ercc3,870.3333,0
Dnmt3a,875.6667,0
Xrcc6,876.1667,0
C1d,929.1667,0
Xrcc5,951.0,0
Terf2ip,1096.0,0
Tead3,1205.6667,0
Prkdc,1310.0,0
