GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
0610031J06Rik,-0.588091,-0.9282004,-0.60235703,-0.9510316,-0.60235715,-0.9510316,-0.5946107,-0.96084577,-0.5946107,-0.96084565,-0.60235703,-0.9510315,-0.59193385,-0.955473
A930001N09Rik,-0.51745224,-0.5777592,-0.53227675,-0.5713276,-0.5338867,-0.5706343,-0.5301894,-0.57909966,-0.5313016,-0.5786206,-0.53388655,-0.5706344,-0.50709164,-0.616491
Abt1,-0.32700667,0.028714508,-0.32700667,0.028714508,-0.32700667,0.028714508,-0.32700667,0.028714508,-0.32700667,0.028714508,-0.32700667,0.028714508,-0.32700667,0.028714508
Adar,-0.45907953,-0.2842198,-0.44835636,-0.30439252,-0.44835648,-0.30439252,-0.44835648,-0.30439252,-0.44835642,-0.30439258,-0.44835642,-0.30439246,-0.44835642,-0.30439246
Adnp2,-0.7446132,-0.5097791,-0.7779629,-0.5213043,-0.7981434,-0.51295257,-0.76078355,-0.5306744,-0.7868484,-0.5194796,-0.798128,-0.51296884,-0.7690071,-0.5150386
Aebp1,-0.10377273,-2.2976654,-1.1151268,-1.5541786,-1.1151267,-1.5541788,-1.1151273,-1.5541788,-1.115127,-1.5541791,-1.1151271,-1.5541788,-1.1151274,-1.5541791
Aebp2,-0.66361666,-0.79518485,-0.6745492,-0.8011879,-0.6745492,-0.8011879,-0.6726396,-0.8034141,-0.67263937,-0.803414,-0.67454934,-0.80118793,-0.67255855,-0.80135894
Ahctf1,-0.56351805,-0.5997674,-0.5463269,-0.64410263,-0.5463269,-0.64410245,-0.54480517,-0.6507649,-0.54480505,-0.6507649,-0.54632676,-0.6441025,-0.5419693,-0.6522635
Ahr,-0.31348333,-0.8415291,-0.36949298,-0.8173065,-0.36949298,-0.8173065,-0.36949304,-0.8173065,-0.3694931,-0.8173065,-0.36949304,-0.8173065,-0.3694931,-0.81730646
Ahrr,-1.3235674,-0.576313,-1.3235674,-0.57631296,-1.3235673,-0.576313,-1.3235672,-0.57631296,-1.3235673,-0.576313,-1.3235668,-0.5763129,-1.3235673,-0.57631296
Aire,-0.34653792,-0.72417456,-0.34653798,-0.7241745,-0.34653792,-0.72417444,-0.33531657,-0.72900647,-0.33531657,-0.72900635,-0.14475065,-0.89250046,-0.317906,-0.7372509
